id,score,sym,name,ensemblgene,species,pr_value_norm,is_tf
10866,12.243855,HCP5,HLA complex P5,,human,HLA,False
100918,12.217873,NRCLP2,"Narcolepsy, HLA-associated",,human,HLA,False
352990,12.217873,HCP5B,HLA complex P5B,ENSG00000281831,human,HLA,False
102723346,11.08783,HCG21,HLA complex group 21,,human,HLA,False
ENSG00000230541,11.08783,HCG21,HLA complex group 21,ENSG00000230541,human,HLA,False
414768,11.0662775,HCG24,HLA complex group 24,,human,HLA,False
10255,11.0662775,HCG9,HLA complex group 9,,human,HLA,False
ENSG00000224642,11.0662775,HCG15,HLA complex group 15,ENSG00000224642,human,HLA,False
ENSG00000230313,11.0662775,HCG24,HLA complex group 24,ENSG00000230313,human,HLA,False
ENSG00000235317,11.031948,HCG4,HLA complex group 4,ENSG00000235317,human,HLA,False
6622,18.249039,SNCA,synuclein alpha,ENSG00000145335,human,PD1,False
9825,18.2455,SPATA2,spermatogenesis associated 2,ENSG00000158480,human,PD1,False
5133,17.88394,PDCD1,programmed cell death 1,,human,PD1,False
100037256,11.069239,Il4ppq,IL-4 producing potential QTL,,mouse,IL,False
59067,89.16023,IL21,interleukin 21,ENSG00000138684,human,IL21,False
60505,75.485374,Il21,interleukin 21,ENSMUSG00000027718,mouse,IL21,False
100996941,17.596167,IL21-AS1,IL21 antisense RNA 1,ENSG00000227145,human,IL21,False
27087,17.906101,B3GAT1,"beta-1,3-glucuronyltransferase 1",ENSG00000109956,human,CD57,False
54474,18.793802,KRT20,keratin 20,,human,CD20,False
931,18.205355,MS4A1,membrane spanning 4-domains A1,ENSG00000156738,human,CD20,False
12482,15.334994,Ms4a1,"membrane-spanning 4-domains, subfamily A, member 1",ENSMUSG00000024673,mouse,CD20,False
3605,91.55968,IL17A,interleukin 17A,ENSG00000112115,human,IL17A,False
16171,78.703835,Il17a,interleukin 17A,ENSMUSG00000025929,mouse,IL17A,False
22914,18.269316,KLRK1,killer cell lectin like receptor K1,ENSG00000213809,human,NKG2D,False
27007,15.005782,Klrk1,"killer cell lectin-like receptor subfamily K, member 1",ENSMUSG00000030149,mouse,NKG2D,False
3458,87.84743,IFNG,interferon gamma,ENSG00000111537,human,IFNG,False
15978,73.67849,Ifng,interferon gamma,ENSMUSG00000055170,mouse,IFNG,False
100885789,16.976936,IFNG-AS1,IFNG antisense RNA 1,ENSG00000255733,human,IFNG,False
103214,14.798549,Ifngas1,Ifng antisense RNA 1,,mouse,IFNG,False
ENSMUSG00000112230,14.784201,Ifngas1,Ifng antisense RNA 1,ENSMUSG00000112230,mouse,IFNG,False
3669,16.736311,ISG20,interferon stimulated exonuclease gene 20,ENSG00000172183,human,CD25,False
3559,16.736311,IL2RA,interleukin 2 receptor subunit alpha,ENSG00000134460,human,CD25,False
16184,14.753433,Il2ra,"interleukin 2 receptor, alpha chain",ENSMUSG00000026770,mouse,CD25,False
2875,10.895801,GPT,glutamic--pyruvic transaminase,ENSG00000167701,human,TRANSAMINASE,False
84706,9.846615,GPT2,glutamic--pyruvic transaminase 2,ENSG00000166123,human,TRANSAMINASE,False
2806,9.766024,GOT2,glutamic-oxaloacetic transaminase 2,ENSG00000125166,human,TRANSAMINASE,False
2805,9.701379,GOT1,glutamic-oxaloacetic transaminase 1,ENSG00000120053,human,TRANSAMINASE,False
100035990,8.215073,Aspt1,aspartate transaminase trait 1,,mouse,TRANSAMINASE,False
76282,8.209089,Gpt,"glutamic pyruvic transaminase, soluble",ENSMUSG00000022546,mouse,TRANSAMINASE,False
137362,8.147112,GOT1L1,glutamic-oxaloacetic transaminase 1 like 1,ENSG00000169154,human,TRANSAMINASE,False
587,8.140602,BCAT2,branched chain amino acid transaminase 2,ENSG00000105552,human,TRANSAMINASE,False
586,8.140602,BCAT1,branched chain amino acid transaminase 1,ENSG00000060982,human,TRANSAMINASE,False
9945,8.083794,GFPT2,glutamine-fructose-6-phosphate transaminase 2,ENSG00000131459,human,TRANSAMINASE,False
3043,11.788126,HBB,hemoglobin subunit beta,ENSG00000244734,human,HEMOGLOBIN,False
3050,11.756593,HBZ,hemoglobin subunit zeta,ENSG00000130656,human,HEMOGLOBIN,False
3045,11.734991,HBD,hemoglobin subunit delta,ENSG00000223609,human,HEMOGLOBIN,False
3042,11.68101,HBM,hemoglobin subunit mu,ENSG00000206177,human,HEMOGLOBIN,False
3047,10.690594,HBG1,hemoglobin subunit gamma 1,ENSG00000213934,human,HEMOGLOBIN,False
3046,10.6201515,HBE1,hemoglobin subunit epsilon 1,ENSG00000213931,human,HEMOGLOBIN,False
3049,10.535881,HBQ1,hemoglobin subunit theta 1,ENSG00000086506,human,HEMOGLOBIN,False
51327,10.535881,AHSP,alpha hemoglobin stabilizing protein,ENSG00000169877,human,HEMOGLOBIN,False
3048,10.534741,HBG2,hemoglobin subunit gamma 2,ENSG00000196565,human,HEMOGLOBIN,False
3039,10.467415,HBA1,hemoglobin subunit alpha 1,ENSG00000206172,human,HEMOGLOBIN,False
973,18.797033,CD79A,CD79a molecule,ENSG00000105369,human,IgA,False
102724971,17.856144,LOC102724971,putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8,,human,IgA,False
102723407,17.856144,LOC102723407,immunoglobulin heavy variable 4-38-2-like,ENSG00000275063,human,IgA,False
60498,16.384668,IGAN1,IgA nephropathy,,human,IgA,False
12518,15.7503195,Cd79a,CD79A antigen (immunoglobulin-associated alpha),ENSMUSG00000003379,mouse,IgA,False
238447,14.97612,Igha,immunoglobulin heavy constant alpha,,mouse,IgA,False
492311,14.394509,IGIP,IgA inducing protein,ENSG00000182700,human,IgA,False
109169,12.081111,Igip,IgA inducing protein,ENSMUSG00000110185,mouse,IgA,False
2204,11.76457,FCAR,Fc fragment of IgA receptor,,human,IgA,False
100034955,11.76365,Plyid,Polymeric IgA dominance,,mouse,IgA,False
6364,87.28195,CCL20,C-C motif chemokine ligand 20,ENSG00000115009,human,CCL20,False
20297,73.204216,Ccl20,chemokine (C-C motif) ligand 20,ENSMUSG00000026166,mouse,CCL20,False
6367,91.54238,CCL22,C-C motif chemokine ligand 22,ENSG00000102962,human,CCL22,False
20299,77.85311,Ccl22,chemokine (C-C motif) ligand 22,ENSMUSG00000031779,mouse,CCL22,False
10850,93.171295,CCL27,C-C motif chemokine ligand 27,ENSG00000213927,human,CCL27,False
20301,15.763634,Ccl27a,chemokine (C-C motif) ligand 27A,ENSMUSG00000073888,mouse,CCL27,False
111343,90.1812,Il1,interleukin 1 complex,,mouse,IL1,False
3552,18.253727,IL1A,interleukin 1 alpha,ENSG00000115008,human,IL1,False
3569,87.45907,IL6,interleukin 6,ENSG00000136244,human,IL6,False
16193,74.703026,Il6,interleukin 6,ENSMUSG00000025746,mouse,IL6,False
7124,16.530344,TNF,tumor necrosis factor,,human,TNFA,False
21926,14.023007,Tnf,tumor necrosis factor,ENSMUSG00000024401,mouse,TNFA,False
7040,18.797754,TGFB1,transforming growth factor beta 1,ENSG00000105329,human,TGFB,False
268977,14.992939,Ltbp1,latent transforming growth factor beta binding protein 1,ENSMUSG00000001870,mouse,TGFB,False
21803,14.95014,Tgfb1,"transforming growth factor, beta 1",ENSMUSG00000002603,mouse,TGFB,False
7050,12.046465,TGIF1,TGFB induced factor homeobox 1,ENSG00000177426,human,TGFB,True
60436,11.677754,TGIF2,TGFB induced factor homeobox 2,ENSG00000118707,human,TGFB,True
228839,9.966029,Tgif2,TGFB-induced factor homeobox 2,ENSMUSG00000062175,mouse,TGFB,False
21815,9.830438,Tgif1,TGFB-induced factor homeobox 1,ENSMUSG00000047407,mouse,TGFB,False
90655,9.339968,TGIF2LY,TGFB induced factor homeobox 2 like Y-linked,ENSG00000176679,human,TGFB,True
90316,9.205647,TGIF2LX,TGFB induced factor homeobox 2 like X-linked,ENSG00000153779,human,TGFB,True
245583,7.3427362,Tgif2lx1,"TGFB-induced factor homeobox 2-like, X-linked 1",ENSMUSG00000100133,mouse,TGFB,False
90865,90.63539,IL33,interleukin 33,ENSG00000137033,human,IL33,False
77125,76.45303,Il33,interleukin 33,ENSMUSG00000024810,mouse,IL33,False
20708,15.33249,Serpinb6b,"serine (or cysteine) peptidase inhibitor, clade B, member 6b",ENSMUSG00000042842,mouse,OVALBUMIN,False
20719,14.747472,Serpinb6a,"serine (or cysteine) peptidase inhibitor, clade B, member 6a",ENSMUSG00000060147,mouse,OVALBUMIN,False
20710,14.169157,Serpinb9e,"serine (or cysteine) peptidase inhibitor, clade B, member 9e",ENSMUSG00000062342,mouse,OVALBUMIN,False
282663,14.169157,Serpinb1b,"serine (or cysteine) peptidase inhibitor, clade B, member 1b",ENSMUSG00000051029,mouse,OVALBUMIN,False
20723,14.152283,Serpinb9,"serine (or cysteine) peptidase inhibitor, clade B, member 9",ENSMUSG00000045827,mouse,OVALBUMIN,False
435350,14.152283,Serpinb6e,"serine (or cysteine) peptidase inhibitor, clade B, member 6e",ENSMUSG00000069248,mouse,OVALBUMIN,False
116872,14.042981,Serpinb7,"serine (or cysteine) peptidase inhibitor, clade B, member 7",ENSMUSG00000067001,mouse,OVALBUMIN,False
20726,14.042981,Serpinb9d,"serine (or cysteine) peptidase inhibitor, clade B, member 9d",ENSMUSG00000054266,mouse,OVALBUMIN,False
97848,14.01149,Serpinb6c,"serine (or cysteine) peptidase inhibitor, clade B, member 6c",ENSMUSG00000052180,mouse,OVALBUMIN,False
20725,14.01149,Serpinb8,"serine (or cysteine) peptidase inhibitor, clade B, member 8",ENSMUSG00000026315,mouse,OVALBUMIN,False
668478,16.464025,Ighv1-9,immunoglobulin heavy variable V1-9,,mouse,IGG2A,False
16017,16.45033,Ighg1,immunoglobulin heavy constant gamma 1 (G1m marker),,mouse,IGG1,False
105243590,16.421135,LOC105243590,Ig heavy chain Mem5-like,,mouse,IGG1,False
6777,16.511003,STAT5B,signal transducer and activator of transcription 5B,ENSG00000173757,human,STAT5,True
6776,16.511003,STAT5A,signal transducer and activator of transcription 5A,ENSG00000126561,human,STAT5,True
20850,13.847939,Stat5a,signal transducer and activator of transcription 5A,ENSMUSG00000004043,mouse,STAT5,False
28134,16.385782,D9Mgc45e,"DNA segment, Chr 9, MRC UK Mouse Genome Centre 45 expressed",,mouse,CD3,False
12503,15.0358305,Cd247,CD247 antigen,ENSMUSG00000005763,mouse,CD3,False
12501,14.487604,Cd3e,"CD3 antigen, epsilon polypeptide",ENSMUSG00000032093,mouse,CD3,False
12500,11.853371,Cd3d,"CD3 antigen, delta polypeptide",ENSMUSG00000032094,mouse,CD3,False
12502,11.721279,Cd3g,"CD3 antigen, gamma polypeptide",ENSMUSG00000002033,mouse,CD3,False
940,86.99978,CD28,CD28 molecule,ENSG00000178562,human,CD28,False
12487,72.96755,Cd28,CD28 antigen,,mouse,CD28,False
3565,88.88272,IL4,interleukin 4,ENSG00000113520,human,IL4,False
16189,74.5468,Il4,interleukin 4,ENSMUSG00000000869,mouse,IL4,False
100036322,11.280803,Tsiq2,T cell secretion of IL4 QTL 2,,mouse,IL4,False
100035908,11.260036,Tsiq3,T cell secretion of IL4 QTL 3,,mouse,IL4,False
100035640,11.240053,Tsiq1,T cell secretion of IL4 QTL 1,,mouse,IL4,False
3586,86.68473,IL10,interleukin 10,ENSG00000136634,human,IL10,False
16153,71.40071,Il10,interleukin 10,ENSMUSG00000016529,mouse,IL10,False
925,18.795101,CD8A,CD8a molecule,ENSG00000153563,human,CD8,False
12525,11.217821,Cd8a,"CD8 antigen, alpha chain",ENSMUSG00000053977,mouse,CD8,False
100035138,10.535845,Cspt,CD8 single positive T cell,,mouse,CD8,False
12526,10.535845,Cd8b1,"CD8 antigen, beta chain 1",ENSMUSG00000053044,mouse,CD8,False
493038,10.528457,Cd8ts2,CD8 T cell subset 2,,mouse,CD8,False
493039,10.528457,Cd8ts3,CD8 T cell subset 3,,mouse,CD8,False
493037,10.162504,Cd8ts1,CD8 T cell subset 1,,mouse,CD8,False
492890,9.890135,Cd8mts3,CD8 memory T cell subset 3,,mouse,CD8,False
492892,9.776272,Cd8mts5,CD8 memory T cell subset 5,,mouse,CD8,False
492891,9.630967,Cd8mts4,CD8 memory T cell subset 4,,mouse,CD8,False
3578,89.9377,IL9,interleukin 9,ENSG00000145839,human,IL9,False
16198,76.76178,Il9,interleukin 9,ENSMUSG00000021538,mouse,IL9,False
5175,17.927336,PECAM1,platelet and endothelial cell adhesion molecule 1,ENSG00000261371,human,CD31,False
18613,14.965647,Pecam1,platelet/endothelial cell adhesion molecule 1,ENSMUSG00000020717,mouse,CD31,False
3605,18.787266,IL17A,interleukin 17A,ENSG00000112115,human,IL17,False
16171,14.977775,Il17a,interleukin 17A,ENSMUSG00000025929,mouse,IL17,False
7097,87.86043,TLR2,toll like receptor 2,ENSG00000137462,human,TLR2,False
24088,73.49212,Tlr2,toll-like receptor 2,ENSMUSG00000027995,mouse,TLR2,False
7099,17.102785,TLR4,toll like receptor 4,ENSG00000136869,human,TOLL,False
54472,10.865716,TOLLIP,toll interacting protein,ENSG00000078902,human,TOLL,False
51284,9.830574,TLR7,toll like receptor 7,ENSG00000196664,human,TOLL,False
54106,9.809554,TLR9,toll like receptor 9,ENSG00000239732,human,TOLL,False
7096,9.744901,TLR1,toll like receptor 1,ENSG00000174125,human,TOLL,False
81793,9.744901,TLR10,toll like receptor 10,ENSG00000174123,human,TOLL,False
10333,9.728984,TLR6,toll like receptor 6,ENSG00000174130,human,TOLL,False
7098,9.724051,TLR3,toll like receptor 3,ENSG00000164342,human,TOLL,False
7100,9.7239485,TLR5,toll like receptor 5,ENSG00000187554,human,TOLL,False
51311,9.670123,TLR8,toll like receptor 8,ENSG00000101916,human,TOLL,False
9709,17.135555,HERPUD1,homocysteine inducible ER protein with ubiquitin like domain 1,ENSG00000051108,human,SUP,False
6616,17.086142,SNAP25,synaptosome associated protein 25,ENSG00000132639,human,SUP,False
20614,14.330312,Snap25,synaptosomal-associated protein 25,ENSMUSG00000027273,mouse,SUP,False
64209,14.330312,Herpud1,"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1",ENSMUSG00000031770,mouse,SUP,False
1493,88.81149,CTLA4,cytotoxic T-lymphocyte associated protein 4,ENSG00000163599,human,CTLA4,False
12477,76.502205,Ctla4,cytotoxic T-lymphocyte-associated protein 4,,mouse,CTLA4,False
100035333,16.459875,Ctex,Ctla4 expression QTL,,mouse,CTLA4,False
3902,89.975464,LAG3,lymphocyte activating 3,ENSG00000089692,human,LAG3,False
16768,72.34567,Lag3,lymphocyte-activation gene 3,ENSMUSG00000030124,mouse,LAG3,False
12774,79.17713,Ccr5,chemokine (C-C motif) receptor 5,ENSMUSG00000079227,mouse,CCR5,False
1234,30.586329,CCR5,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,human,CCR5,False
50616,89.50507,IL22,interleukin 22,ENSG00000127318,human,IL22,False
50929,73.5342,Il22,interleukin 22,ENSMUSG00000074695,mouse,IL22,False
414062,102.96839,CCL3L3,C-C motif chemokine ligand 3 like 3,,human,CCL3L3,False
6351,17.900793,CCL4,C-C motif chemokine ligand 4,,human,MIP1B,False
20303,15.27785,Ccl4,chemokine (C-C motif) ligand 4,ENSMUSG00000018930,mouse,MIP1B,False
4794,12.004802,NFKBIE,NFKB inhibitor epsilon,ENSG00000146232,human,NFKB,False
84807,11.989122,NFKBID,NFKB inhibitor delta,ENSG00000167604,human,NFKB,False
4792,11.989122,NFKBIA,NFKB inhibitor alpha,ENSG00000100906,human,NFKB,False
79576,11.918658,NKAP,NFKB activating protein,ENSG00000101882,human,NFKB,False
64332,11.861648,NFKBIZ,NFKB inhibitor zeta,ENSG00000144802,human,NFKB,False
55922,11.861648,NKRF,NFKB repressing factor,ENSG00000186416,human,NFKB,True
4793,11.861648,NFKBIB,NFKB inhibitor beta,,human,NFKB,False
4795,10.753286,NFKBIL1,NFKB inhibitor like 1,,human,NFKB,False
222698,10.744096,NKAPL,NFKB activating protein like,ENSG00000189134,human,NFKB,False
67050,10.030351,Nkap,NFKB activating protein,ENSMUSG00000016409,mouse,NFKB,False
4684,17.88553,NCAM1,neural cell adhesion molecule 1,ENSG00000149294,human,CD56,False
17967,15.003905,Ncam1,neural cell adhesion molecule 1,ENSMUSG00000039542,mouse,CD56,False
2214,18.77057,FCGR3A,Fc fragment of IgG receptor IIIa,ENSG00000203747,human,CD16,False
2215,17.573772,FCGR3B,Fc fragment of IgG receptor IIIb,ENSG00000162747,human,CD16,False
14131,14.739293,Fcgr3,"Fc receptor, IgG, low affinity III",ENSMUSG00000059498,mouse,CD16,False
112806053,11.433997,TBILA,TGF-beta induced lncRNA,,human,TGF,False
100036230,9.64931,Tb2r1,TGF-beta2 responsiveness 1,,mouse,TGF,False
114004396,8.68884,LNCRNA-ATB,long noncoding RNA activated by TGF-beta,,human,TGF,False
257397,7.6061883,TAB3,TGF-beta activated kinase 1 (MAP3K7) binding protein 3,ENSG00000157625,human,TGF,False
23118,7.5016875,TAB2,TGF-beta activated kinase 1 (MAP3K7) binding protein 2,ENSG00000055208,human,TGF,False
10454,7.5016875,TAB1,TGF-beta activated kinase 1 (MAP3K7) binding protein 1,ENSG00000100324,human,TGF,False
223431,7.339216,Tiaf2,TGF-beta1-induced anti-apoptotic factor 2,,mouse,TGF,False
ENSMUSG00000115568,7.339216,Tiaf2,TGF-beta1-induced anti-apoptotic factor 2,ENSMUSG00000115568,mouse,TGF,False
66724,6.3793836,Tab3,TGF-beta activated kinase 1/MAP3K7 binding protein 3,ENSMUSG00000035476,mouse,TGF,False
66513,6.35708,Tab1,TGF-beta activated kinase 1/MAP3K7 binding protein 1,ENSMUSG00000022414,mouse,TGF,False
7043,86.85135,TGFB3,transforming growth factor beta 3,ENSG00000119699,human,TGFB3,False
21809,72.04122,Tgfb3,"transforming growth factor, beta 3",ENSMUSG00000021253,mouse,TGFB3,False
109729179,17.645815,TGFB3-AS1,TGFB3 antisense RNA 1,,human,TGFB3,False
ENSG00000258876,17.641787,TGFB3-AS1,TGFB3 antisense RNA 1,ENSG00000258876,human,TGFB3,False
4087,86.8197,SMAD2,SMAD family member 2,ENSG00000175387,human,SMAD2,False
17126,72.93588,Smad2,SMAD family member 2,ENSMUSG00000024563,mouse,SMAD2,False
4088,86.95859,SMAD3,SMAD family member 3,ENSG00000166949,human,SMAD3,True
17127,74.54364,Smad3,SMAD family member 3,ENSMUSG00000032402,mouse,SMAD3,False
4089,87.26463,SMAD4,SMAD family member 4,ENSG00000141646,human,SMAD4,True
17128,73.85973,Smad4,SMAD family member 4,ENSMUSG00000024515,mouse,SMAD4,False
4093,10.767254,SMAD9,SMAD family member 9,ENSG00000120693,human,SMAD,True
4087,10.767254,SMAD2,SMAD family member 2,ENSG00000175387,human,SMAD,False
4086,10.744821,SMAD1,SMAD family member 1,ENSG00000170365,human,SMAD,True
4091,10.713156,SMAD6,SMAD family member 6,ENSG00000137834,human,SMAD,False
4089,10.713156,SMAD4,SMAD family member 4,ENSG00000141646,human,SMAD,True
4088,10.684549,SMAD3,SMAD family member 3,ENSG00000166949,human,SMAD,True
4090,10.57676,SMAD5,SMAD family member 5,ENSG00000113658,human,SMAD,True
4092,10.57676,SMAD7,SMAD family member 7,ENSG00000101665,human,SMAD,False
79753,9.680441,SNIP1,Smad nuclear interacting protein 1,ENSG00000163877,human,SMAD,False
17125,9.109823,Smad1,SMAD family member 1,ENSMUSG00000031681,mouse,SMAD,False
3575,17.864191,IL7R,interleukin 7 receptor,ENSG00000168685,human,CD127,False
16197,14.513189,Il7r,interleukin 7 receptor,ENSMUSG00000003882,mouse,CD127,False
3684,16.922413,ITGAM,integrin subunit alpha M,ENSG00000169896,human,CD11B,False
16409,14.970204,Itgam,integrin alpha M,ENSMUSG00000030786,mouse,CD11B,False
8273,19.562351,SLC10A3,solute carrier family 10 member 3,ENSG00000126903,human,P3,False
5394,18.782837,EXOSC10,exosome component 10,ENSG00000171824,human,P3,False
518,17.518541,ATP5MC3,ATP synthase membrane subunit c locus 3,ENSG00000154518,human,P3,False
259036,14.69297,Olfr713,olfactory receptor 713,ENSMUSG00000073898,mouse,P3,False
14683,14.522122,Gnas,"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus",ENSMUSG00000027523,mouse,P3,False
50943,13.899015,FOXP3,forkhead box P3,ENSG00000049768,human,P3,True
239759,13.898025,Liph,"lipase, member H",ENSMUSG00000044626,mouse,P3,False
50912,13.898025,Exosc10,exosome component 10,ENSMUSG00000017264,mouse,P3,False
214601,13.898025,Slc10a3,"solute carrier family 10 (sodium/bile acid cotransporter family), member 3",ENSMUSG00000032806,mouse,P3,False
20371,11.6234045,Foxp3,forkhead box P3,ENSMUSG00000039521,mouse,P3,False
3140,99.05805,MR1,"major histocompatibility complex, class I-related",ENSG00000153029,human,MR1,False
15064,83.837746,Mr1,"major histocompatibility complex, class I-related",ENSMUSG00000026471,mouse,MR1,False
25953,17.898127,PNKD,PNKD metallo-beta-lactamase domain containing,ENSG00000127838,human,MR1,False
5506,17.875322,PPP1R3A,protein phosphatase 1 regulatory subunit 3A,ENSG00000154415,human,GM,False
56187,16.42258,Rabggta,"Rab geranylgeranyl transferase, a subunit",ENSMUSG00000040472,mouse,GM,False
140491,15.799953,Ppp1r3a,"protein phosphatase 1, regulatory subunit 3A",ENSMUSG00000042717,mouse,GM,False
3918,18.80034,LAMC2,laminin subunit gamma 2,ENSG00000058085,human,CSF,False
1437,18.797754,CSF2,colony stimulating factor 2,ENSG00000164400,human,CSF,False
12981,15.348845,Csf2,colony stimulating factor 2 (granulocyte-macrophage),ENSMUSG00000018916,mouse,CSF,False
492961,13.885662,Gcsfis,G-CSF induced splenomegaly,,mouse,CSF,False
7124,89.72488,TNF,tumor necrosis factor,,human,TNF,False
21926,76.212265,Tnf,tumor necrosis factor,ENSMUSG00000024401,mouse,TNF,False
84957,10.004977,RELT,RELT TNF receptor,ENSG00000054967,human,TNF,False
8741,8.988483,TNFSF13,TNF superfamily member 13,ENSG00000161955,human,TNF,False
8600,8.981363,TNFSF11,TNF superfamily member 11,ENSG00000120659,human,TNF,False
8743,8.973361,TNFSF10,TNF superfamily member 10,ENSG00000121858,human,TNF,False
8744,8.972768,TNFSF9,TNF superfamily member 9,ENSG00000125657,human,TNF,False
8740,8.967497,TNFSF14,TNF superfamily member 14,ENSG00000125735,human,TNF,False
8995,8.9510355,TNFSF18,TNF superfamily member 18,ENSG00000120337,human,TNF,False
944,8.9510355,TNFSF8,TNF superfamily member 8,ENSG00000106952,human,TNF,False
5551,15.035813,PRF1,perforin 1,ENSG00000180644,human,PERFORIN,False
18646,9.111673,Prf1,perforin 1 (pore forming protein),ENSMUSG00000037202,mouse,PERFORIN,False
1493,17.85968,CTLA4,cytotoxic T-lymphocyte associated protein 4,ENSG00000163599,human,CD,False
317782,17.843657,CELIAC2,celiac disease 2,,human,CD,False
64127,16.743488,NOD2,nucleotide binding oligomerization domain containing 2,ENSG00000167207,human,CD,False
13033,15.721708,Ctsd,cathepsin D,ENSMUSG00000007891,mouse,CD,False
16974,14.737549,Lrp6,low density lipoprotein receptor-related protein 6,ENSMUSG00000030201,mouse,CD,False
257632,14.557789,Nod2,nucleotide-binding oligomerization domain containing 2,ENSMUSG00000055994,mouse,CD,False
969,91.829506,CD69,CD69 molecule,ENSG00000110848,human,CD69,False
12515,81.344955,Cd69,CD69 antigen,ENSMUSG00000030156,mouse,CD69,False
643,85.74834,CXCR5,C-X-C motif chemokine receptor 5,ENSG00000160683,human,CXCR5,False
12145,71.655334,Cxcr5,chemokine (C-X-C motif) receptor 5,ENSMUSG00000047880,mouse,CXCR5,False
1649,17.886684,DDIT3,DNA damage inducible transcript 3,ENSG00000175197,human,CHOP,True
13198,14.743032,Ddit3,DNA-damage inducible transcript 3,ENSMUSG00000025408,mouse,CHOP,False
604,80.40381,BCL6,BCL6 transcription repressor,ENSG00000113916,human,BCL6,True
12053,66.977844,Bcl6,B cell leukemia/lymphoma 6,ENSMUSG00000022508,mouse,BCL6,False
54880,15.41562,BCOR,BCL6 corepressor,ENSG00000183337,human,BCL6,False
106146153,13.45316,BCL6-AS1,BCL6 antisense 1,,human,BCL6,False
63035,12.058098,BCORL1,BCL6 corepressor like 1,ENSG00000085185,human,BCL6,False
71458,11.283296,Bcor,BCL6 interacting corepressor,ENSMUSG00000040363,mouse,BCL6,False
320376,9.163055,Bcorl1,BCL6 co-repressor-like 1,ENSMUSG00000036959,mouse,BCL6,False
286554,4.0299172,BCORP1,BCL6 corepressor pseudogene 1,ENSG00000215580,human,BCL6,False
7037,17.874159,TFRC,transferrin receptor,ENSG00000072274,human,TFR,False
22042,15.276135,Tfrc,transferrin receptor,ENSMUSG00000022797,mouse,TFR,False
930,91.65283,CD19,CD19 molecule,ENSG00000177455,human,CD19,False
12478,77.88156,Cd19,CD19 antigen,ENSMUSG00000030724,mouse,CD19,False
105373989,8.2409725,LOC105373989,putative cuticle collagen 91,,human,COLLAGEN,False
107984355,7.47835,LOC107984355,collagen alpha-1(I) chain,,human,COLLAGEN,False
