id,score,sym,name,ensemblgene,species,pr_value_norm,is_tf
328483,15.340278,Trav6-3,T cell receptor alpha variable 6-3,,mouse,TCR,False
445347,12.234484,TARP,TCR gamma alternate reading frame protein,ENSG00000211689,human,TCR,False
22637,10.47441,Zap70,zeta-chain (TCR) associated protein kinase,ENSMUSG00000026117,mouse,TCR,False
6304,87.5785,SATB1,SATB homeobox 1,ENSG00000182568,human,SATB1,True
20230,72.78244,Satb1,special AT-rich sequence binding protein 1,ENSMUSG00000023927,mouse,SATB1,False
ENSG00000228956,14.477733,SATB1-AS1,SATB1 antisense RNA 1,ENSG00000228956,human,SATB1,False
101927777,14.379069,SATB1-AS1,SATB1 antisense RNA 1,,human,SATB1,False
929,90.8113,CD14,CD14 molecule,ENSG00000170458,human,CD14,False
12475,73.35029,Cd14,CD14 antigen,ENSMUSG00000051439,mouse,CD14,False
4695,18.797754,NDUFA2,NADH:ubiquinone oxidoreductase subunit A2,ENSG00000131495,human,CD14,False
100918,12.222837,NRCLP2,"Narcolepsy, HLA-associated",,human,HLA,False
352990,12.222837,HCP5B,HLA complex P5B,ENSG00000281831,human,HLA,False
10866,12.214664,HCP5,HLA complex P5,,human,HLA,False
102723346,11.077023,HCG21,HLA complex group 21,,human,HLA,False
ENSG00000230541,11.077023,HCG21,HLA complex group 21,ENSG00000230541,human,HLA,False
414768,11.048762,HCG24,HLA complex group 24,,human,HLA,False
10255,11.048762,HCG9,HLA complex group 9,,human,HLA,False
ENSG00000224642,11.048762,HCG15,HLA complex group 15,ENSG00000224642,human,HLA,False
ENSG00000230313,11.048762,HCG24,HLA complex group 24,ENSG00000230313,human,HLA,False
253018,11.040604,HCG27,HLA complex group 27,,human,HLA,False
9825,17.885963,SPATA2,spermatogenesis associated 2,ENSG00000158480,human,PD1,False
5133,17.826359,PDCD1,programmed cell death 1,,human,PD1,False
6622,17.589754,SNCA,synuclein alpha,ENSG00000145335,human,PD1,False
100037256,11.1338415,Il4ppq,IL-4 producing potential QTL,,mouse,IL,False
59067,89.39411,IL21,interleukin 21,ENSG00000138684,human,IL21,False
60505,75.46329,Il21,interleukin 21,ENSMUSG00000027718,mouse,IL21,False
100996941,17.626743,IL21-AS1,IL21 antisense RNA 1,ENSG00000227145,human,IL21,False
27087,17.927336,B3GAT1,"beta-1,3-glucuronyltransferase 1",ENSG00000109956,human,CD57,False
54474,18.27435,KRT20,keratin 20,,human,CD20,False
931,17.829582,MS4A1,membrane spanning 4-domains A1,ENSG00000156738,human,CD20,False
12482,15.302677,Ms4a1,"membrane-spanning 4-domains, subfamily A, member 1",ENSMUSG00000024673,mouse,CD20,False
3605,92.284805,IL17A,interleukin 17A,ENSG00000112115,human,IL17A,False
16171,78.57015,Il17a,interleukin 17A,ENSMUSG00000025929,mouse,IL17A,False
22914,17.843657,KLRK1,killer cell lectin like receptor K1,ENSG00000213809,human,NKG2D,False
27007,15.305795,Klrk1,"killer cell lectin-like receptor subfamily K, member 1",ENSMUSG00000030149,mouse,NKG2D,False
3458,88.60149,IFNG,interferon gamma,ENSG00000111537,human,IFNγ,False
15978,74.31092,Ifng,interferon gamma,ENSMUSG00000055170,mouse,IFNγ,False
100885789,16.967659,IFNG-AS1,IFNG antisense RNA 1,ENSG00000255733,human,IFNγ,False
ENSMUSG00000112230,14.783866,Ifngas1,Ifng antisense RNA 1,ENSMUSG00000112230,mouse,IFNγ,False
103214,14.7816925,Ifngas1,Ifng antisense RNA 1,,mouse,IFNγ,False
3669,16.54265,ISG20,interferon stimulated exonuclease gene 20,ENSG00000172183,human,CD25,False
3559,16.54265,IL2RA,interleukin 2 receptor subunit alpha,ENSG00000134460,human,CD25,False
16184,14.748483,Il2ra,"interleukin 2 receptor, alpha chain",ENSMUSG00000026770,mouse,CD25,False
2875,10.882607,GPT,glutamic--pyruvic transaminase,ENSG00000167701,human,TRANSAMINASE,False
84706,9.830353,GPT2,glutamic--pyruvic transaminase 2,ENSG00000166123,human,TRANSAMINASE,False
2806,9.753939,GOT2,glutamic-oxaloacetic transaminase 2,ENSG00000125166,human,TRANSAMINASE,False
2805,9.695252,GOT1,glutamic-oxaloacetic transaminase 1,ENSG00000120053,human,TRANSAMINASE,False
76282,8.215448,Gpt,"glutamic pyruvic transaminase, soluble",ENSMUSG00000022546,mouse,TRANSAMINASE,False
100035990,8.21351,Aspt1,aspartate transaminase trait 1,,mouse,TRANSAMINASE,False
137362,8.145955,GOT1L1,glutamic-oxaloacetic transaminase 1 like 1,ENSG00000169154,human,TRANSAMINASE,False
586,8.134312,BCAT1,branched chain amino acid transaminase 1,ENSG00000060982,human,TRANSAMINASE,False
587,8.134312,BCAT2,branched chain amino acid transaminase 2,ENSG00000105552,human,TRANSAMINASE,False
9945,8.069807,GFPT2,glutamine-fructose-6-phosphate transaminase 2,ENSG00000131459,human,TRANSAMINASE,False
3043,11.777057,HBB,hemoglobin subunit beta,ENSG00000244734,human,HEMOGLOBIN,False
3050,11.749202,HBZ,hemoglobin subunit zeta,ENSG00000130656,human,HEMOGLOBIN,False
3045,11.747991,HBD,hemoglobin subunit delta,ENSG00000223609,human,HEMOGLOBIN,False
3042,11.690832,HBM,hemoglobin subunit mu,ENSG00000206177,human,HEMOGLOBIN,False
3047,10.680748,HBG1,hemoglobin subunit gamma 1,ENSG00000213934,human,HEMOGLOBIN,False
3046,10.615229,HBE1,hemoglobin subunit epsilon 1,ENSG00000213931,human,HEMOGLOBIN,False
3048,10.531087,HBG2,hemoglobin subunit gamma 2,ENSG00000196565,human,HEMOGLOBIN,False
51327,10.529779,AHSP,alpha hemoglobin stabilizing protein,ENSG00000169877,human,HEMOGLOBIN,False
3049,10.529779,HBQ1,hemoglobin subunit theta 1,ENSG00000086506,human,HEMOGLOBIN,False
3040,10.489025,HBA2,hemoglobin subunit alpha 2,ENSG00000188536,human,HEMOGLOBIN,False
973,18.797754,CD79A,CD79a molecule,ENSG00000105369,human,IgA,False
102724971,17.876196,LOC102724971,putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8,,human,IgA,False
102723407,17.876196,LOC102723407,immunoglobulin heavy variable 4-38-2-like,ENSG00000275063,human,IgA,False
60498,16.42886,IGAN1,IgA nephropathy,,human,IgA,False
12518,15.7310095,Cd79a,CD79A antigen (immunoglobulin-associated alpha),ENSMUSG00000003379,mouse,IgA,False
238447,14.992939,Igha,immunoglobulin heavy constant alpha,,mouse,IgA,False
492311,14.392712,IGIP,IgA inducing protein,ENSG00000182700,human,IgA,False
109169,12.090956,Igip,IgA inducing protein,ENSMUSG00000110185,mouse,IgA,False
2204,11.79612,FCAR,Fc fragment of IgA receptor,,human,IgA,False
100034955,11.75505,Plyid,Polymeric IgA dominance,,mouse,IgA,False
6364,87.62522,CCL20,C-C motif chemokine ligand 20,ENSG00000115009,human,CCL20,False
20297,73.49212,Ccl20,chemokine (C-C motif) ligand 20,ENSMUSG00000026166,mouse,CCL20,False
6367,91.95493,CCL22,C-C motif chemokine ligand 22,ENSG00000102962,human,CCL22,False
20299,77.43615,Ccl22,chemokine (C-C motif) ligand 22,ENSMUSG00000031779,mouse,CCL22,False
10850,92.75754,CCL27,C-C motif chemokine ligand 27,ENSG00000213927,human,CCL27,False
20301,15.734326,Ccl27a,chemokine (C-C motif) ligand 27A,ENSMUSG00000073888,mouse,CCL27,False
111343,90.138725,Il1,interleukin 1 complex,,mouse,IL1,False
3552,18.726887,IL1A,interleukin 1 alpha,ENSG00000115008,human,IL1,False
3569,88.14963,IL6,interleukin 6,ENSG00000136244,human,IL6,False
16193,75.023544,Il6,interleukin 6,ENSMUSG00000025746,mouse,IL6,False
7124,16.693121,TNF,tumor necrosis factor,,human,TNFα,False
21926,14.1865,Tnf,tumor necrosis factor,ENSMUSG00000024401,mouse,TNFα,False
7040,90.87631,TGFB1,transforming growth factor beta 1,ENSG00000105329,human,TGFβ1,False
7040,90.87631,TGFB1,transforming growth factor beta 1,ENSG00000105329,human,TGFβ₁,False
21803,73.84058,Tgfb1,"transforming growth factor, beta 1",ENSMUSG00000002603,mouse,TGFβ1,False
21803,73.84058,Tgfb1,"transforming growth factor, beta 1",ENSMUSG00000002603,mouse,TGFβ₁,False
9220,12.28065,TIAF1,TGFB1-induced anti-apoptotic factor 1,ENSG00000221995,human,TGFβ1,False
9220,12.28065,TIAF1,TGFB1-induced anti-apoptotic factor 1,ENSG00000221995,human,TGFβ₁,False
90865,90.70617,IL33,interleukin 33,ENSG00000137033,human,IL33,False
77125,76.98661,Il33,interleukin 33,ENSMUSG00000024810,mouse,IL33,False
20708,14.979086,Serpinb6b,"serine (or cysteine) peptidase inhibitor, clade B, member 6b",ENSMUSG00000042842,mouse,OVALBUMIN,False
20719,14.520378,Serpinb6a,"serine (or cysteine) peptidase inhibitor, clade B, member 6a",ENSMUSG00000060147,mouse,OVALBUMIN,False
20726,14.036906,Serpinb9d,"serine (or cysteine) peptidase inhibitor, clade B, member 9d",ENSMUSG00000054266,mouse,OVALBUMIN,False
116872,14.036906,Serpinb7,"serine (or cysteine) peptidase inhibitor, clade B, member 7",ENSMUSG00000067001,mouse,OVALBUMIN,False
20710,13.994268,Serpinb9e,"serine (or cysteine) peptidase inhibitor, clade B, member 9e",ENSMUSG00000062342,mouse,OVALBUMIN,False
282663,13.994268,Serpinb1b,"serine (or cysteine) peptidase inhibitor, clade B, member 1b",ENSMUSG00000051029,mouse,OVALBUMIN,False
97848,13.97092,Serpinb6c,"serine (or cysteine) peptidase inhibitor, clade B, member 6c",ENSMUSG00000052180,mouse,OVALBUMIN,False
20725,13.97092,Serpinb8,"serine (or cysteine) peptidase inhibitor, clade B, member 8",ENSMUSG00000026315,mouse,OVALBUMIN,False
18788,13.97092,Serpinb2,"serine (or cysteine) peptidase inhibitor, clade B, member 2",ENSMUSG00000062345,mouse,OVALBUMIN,False
20723,13.890719,Serpinb9,"serine (or cysteine) peptidase inhibitor, clade B, member 9",ENSMUSG00000045827,mouse,OVALBUMIN,False
668478,16.407133,Ighv1-9,immunoglobulin heavy variable V1-9,,mouse,IGG2A,False
16017,16.44004,Ighg1,immunoglobulin heavy constant gamma 1 (G1m marker),,mouse,IGG1,False
105243590,16.407265,LOC105243590,Ig heavy chain Mem5-like,,mouse,IGG1,False
6776,17.042265,STAT5A,signal transducer and activator of transcription 5A,ENSG00000126561,human,STAT5,True
6777,17.042265,STAT5B,signal transducer and activator of transcription 5B,ENSG00000173757,human,STAT5,True
20850,14.293513,Stat5a,signal transducer and activator of transcription 5A,ENSMUSG00000004043,mouse,STAT5,False
28134,16.427628,D9Mgc45e,"DNA segment, Chr 9, MRC UK Mouse Genome Centre 45 expressed",,mouse,CD3,False
12503,14.978937,Cd247,CD247 antigen,ENSMUSG00000005763,mouse,CD3,False
12501,14.711188,Cd3e,"CD3 antigen, epsilon polypeptide",ENSMUSG00000032093,mouse,CD3,False
12500,11.881573,Cd3d,"CD3 antigen, delta polypeptide",ENSMUSG00000032094,mouse,CD3,False
12502,11.655747,Cd3g,"CD3 antigen, gamma polypeptide",ENSMUSG00000002033,mouse,CD3,False
940,86.43944,CD28,CD28 molecule,ENSG00000178562,human,CD28,False
12487,72.49759,Cd28,CD28 antigen,,mouse,CD28,False
3565,88.53211,IL4,interleukin 4,ENSG00000113520,human,IL4,False
16189,74.25274,Il4,interleukin 4,ENSMUSG00000000869,mouse,IL4,False
100036322,11.289944,Tsiq2,T cell secretion of IL4 QTL 2,,mouse,IL4,False
100035908,11.259472,Tsiq3,T cell secretion of IL4 QTL 3,,mouse,IL4,False
100035640,11.249963,Tsiq1,T cell secretion of IL4 QTL 1,,mouse,IL4,False
3586,86.55725,IL10,interleukin 10,ENSG00000136634,human,IL10,False
16153,71.57674,Il10,interleukin 10,ENSMUSG00000016529,mouse,IL10,False
925,18.238626,CD8A,CD8a molecule,ENSG00000153563,human,CD8,False
12525,11.215697,Cd8a,"CD8 antigen, alpha chain",ENSMUSG00000053977,mouse,CD8,False
100035138,10.593711,Cspt,CD8 single positive T cell,,mouse,CD8,False
12526,10.593711,Cd8b1,"CD8 antigen, beta chain 1",ENSMUSG00000053044,mouse,CD8,False
493038,10.522418,Cd8ts2,CD8 T cell subset 2,,mouse,CD8,False
493039,10.522418,Cd8ts3,CD8 T cell subset 3,,mouse,CD8,False
493037,10.161507,Cd8ts1,CD8 T cell subset 1,,mouse,CD8,False
492890,9.861956,Cd8mts3,CD8 memory T cell subset 3,,mouse,CD8,False
492892,9.841178,Cd8mts5,CD8 memory T cell subset 5,,mouse,CD8,False
492891,9.6822,Cd8mts4,CD8 memory T cell subset 4,,mouse,CD8,False
100188881,19.579046,MFT2,"Trichoepithelioma, multiple familial, 2",,human,TEM,False
1540,18.77529,CYLD,CYLD lysine 63 deubiquitinase,ENSG00000083799,human,TEM,False
64102,18.300545,TNMD,tenomodulin,ENSG00000000005,human,TEM,False
64103,15.320238,Tnmd,tenomodulin,ENSMUSG00000031250,mouse,TEM,False
3578,89.16597,IL9,interleukin 9,ENSG00000145839,human,IL9,False
16198,77.14832,Il9,interleukin 9,ENSMUSG00000021538,mouse,IL9,False
5175,18.81717,PECAM1,platelet and endothelial cell adhesion molecule 1,ENSG00000261371,human,CD31,False
18613,14.73507,Pecam1,platelet/endothelial cell adhesion molecule 1,ENSMUSG00000020717,mouse,CD31,False
3605,18.767212,IL17A,interleukin 17A,ENSG00000112115,human,IL17,False
16171,14.95114,Il17a,interleukin 17A,ENSMUSG00000025929,mouse,IL17,False
7097,87.35988,TLR2,toll like receptor 2,ENSG00000137462,human,TLR2,False
24088,73.204216,Tlr2,toll-like receptor 2,ENSMUSG00000027995,mouse,TLR2,False
7099,17.86422,TLR4,toll like receptor 4,ENSG00000136869,human,TOLL,False
54472,10.868286,TOLLIP,toll interacting protein,ENSG00000078902,human,TOLL,False
51284,9.831941,TLR7,toll like receptor 7,ENSG00000196664,human,TOLL,False
54106,9.805962,TLR9,toll like receptor 9,ENSG00000239732,human,TOLL,False
7096,9.7421055,TLR1,toll like receptor 1,ENSG00000174125,human,TOLL,False
81793,9.7421055,TLR10,toll like receptor 10,ENSG00000174123,human,TOLL,False
10333,9.737458,TLR6,toll like receptor 6,ENSG00000174130,human,TOLL,False
7100,9.7322855,TLR5,toll like receptor 5,ENSG00000187554,human,TOLL,False
7098,9.717216,TLR3,toll like receptor 3,ENSG00000164342,human,TOLL,False
51311,9.6841,TLR8,toll like receptor 8,ENSG00000101916,human,TOLL,False
9709,17.336128,HERPUD1,homocysteine inducible ER protein with ubiquitin like domain 1,ENSG00000051108,human,SUP,False
6616,17.328764,SNAP25,synaptosome associated protein 25,ENSG00000132639,human,SUP,False
20614,14.533803,Snap25,synaptosomal-associated protein 25,ENSMUSG00000027273,mouse,SUP,False
64209,14.533803,Herpud1,"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1",ENSMUSG00000031770,mouse,SUP,False
1493,88.29905,CTLA4,cytotoxic T-lymphocyte associated protein 4,ENSG00000163599,human,CTLA4,False
12477,76.1444,Ctla4,cytotoxic T-lymphocyte-associated protein 4,,mouse,CTLA4,False
100035333,16.469658,Ctex,Ctla4 expression QTL,,mouse,CTLA4,False
3902,90.00179,LAG3,lymphocyte activating 3,ENSG00000089692,human,LAG3,False
16768,72.27519,Lag3,lymphocyte-activation gene 3,ENSMUSG00000030124,mouse,LAG3,False
12774,79.71986,Ccr5,chemokine (C-C motif) receptor 5,ENSMUSG00000079227,mouse,CCR5,False
1234,31.043167,CCR5,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,human,CCR5,False
50616,89.70672,IL22,interleukin 22,ENSG00000127318,human,IL22,False
50929,73.72648,Il22,interleukin 22,ENSMUSG00000074695,mouse,IL22,False
414062,104.83621,CCL3L3,C-C motif chemokine ligand 3 like 3,,human,CCL3L3,False
6351,18.249039,CCL4,C-C motif chemokine ligand 4,,human,MIP1β,False
20303,15.326141,Ccl4,chemokine (C-C motif) ligand 4,ENSMUSG00000018930,mouse,MIP1β,False
4794,11.994852,NFKBIE,NFKB inhibitor epsilon,ENSG00000146232,human,NFκB,False
84807,11.973076,NFKBID,NFKB inhibitor delta,ENSG00000167604,human,NFκB,False
4792,11.973076,NFKBIA,NFKB inhibitor alpha,ENSG00000100906,human,NFκB,False
79576,11.926302,NKAP,NFKB activating protein,ENSG00000101882,human,NFκB,False
64332,11.900183,NFKBIZ,NFKB inhibitor zeta,ENSG00000144802,human,NFκB,False
55922,11.900183,NKRF,NFKB repressing factor,ENSG00000186416,human,NFκB,True
4793,11.900183,NFKBIB,NFKB inhibitor beta,,human,NFκB,False
4795,10.774731,NFKBIL1,NFKB inhibitor like 1,,human,NFκB,False
222698,10.730489,NKAPL,NFKB activating protein like,ENSG00000189134,human,NFκB,False
67050,10.0205555,Nkap,NFKB activating protein,ENSMUSG00000016409,mouse,NFκB,False
4684,17.880224,NCAM1,neural cell adhesion molecule 1,ENSG00000149294,human,CD56,False
17967,14.752696,Ncam1,neural cell adhesion molecule 1,ENSMUSG00000039542,mouse,CD56,False
2215,17.882732,FCGR3B,Fc fragment of IgG receptor IIIb,ENSG00000162747,human,CD16,False
2214,17.357363,FCGR3A,Fc fragment of IgG receptor IIIa,ENSG00000203747,human,CD16,False
14131,14.998422,Fcgr3,"Fc receptor, IgG, low affinity III",ENSMUSG00000059498,mouse,CD16,False
112806053,11.433731,TBILA,TGF-beta induced lncRNA,,human,TGF,False
100036230,9.6435795,Tb2r1,TGF-beta2 responsiveness 1,,mouse,TGF,False
114004396,8.688519,LNCRNA-ATB,long noncoding RNA activated by TGF-beta,,human,TGF,False
257397,7.5995364,TAB3,TGF-beta activated kinase 1 (MAP3K7) binding protein 3,ENSG00000157625,human,TGF,False
10454,7.500708,TAB1,TGF-beta activated kinase 1 (MAP3K7) binding protein 1,ENSG00000100324,human,TGF,False
23118,7.500708,TAB2,TGF-beta activated kinase 1 (MAP3K7) binding protein 2,ENSG00000055208,human,TGF,False
223431,7.339755,Tiaf2,TGF-beta1-induced anti-apoptotic factor 2,,mouse,TGF,False
ENSMUSG00000115568,7.339755,Tiaf2,TGF-beta1-induced anti-apoptotic factor 2,ENSMUSG00000115568,mouse,TGF,False
66724,6.3738046,Tab3,TGF-beta activated kinase 1/MAP3K7 binding protein 3,ENSMUSG00000035476,mouse,TGF,False
66513,6.352656,Tab1,TGF-beta activated kinase 1/MAP3K7 binding protein 1,ENSMUSG00000022414,mouse,TGF,False
7040,17.574924,TGFB1,transforming growth factor beta 1,ENSG00000105329,human,TGFβ,False
21803,15.296912,Tgfb1,"transforming growth factor, beta 1",ENSMUSG00000002603,mouse,TGFβ,False
268977,14.97612,Ltbp1,latent transforming growth factor beta binding protein 1,ENSMUSG00000001870,mouse,TGFβ,False
7050,12.048887,TGIF1,TGFB induced factor homeobox 1,ENSG00000177426,human,TGFβ,True
60436,11.680205,TGIF2,TGFB induced factor homeobox 2,ENSG00000118707,human,TGFβ,True
228839,9.961426,Tgif2,TGFB-induced factor homeobox 2,ENSMUSG00000062175,mouse,TGFβ,False
21815,9.864309,Tgif1,TGFB-induced factor homeobox 1,ENSMUSG00000047407,mouse,TGFβ,False
90655,9.350025,TGIF2LY,TGFB induced factor homeobox 2 like Y-linked,ENSG00000176679,human,TGFβ,True
90316,9.193268,TGIF2LX,TGFB induced factor homeobox 2 like X-linked,ENSG00000153779,human,TGFβ,True
245583,7.344292,Tgif2lx1,"TGFB-induced factor homeobox 2-like, X-linked 1",ENSMUSG00000100133,mouse,TGFβ,False
7043,87.120804,TGFB3,transforming growth factor beta 3,ENSG00000119699,human,TGFβ3,False
21809,72.179,Tgfb3,"transforming growth factor, beta 3",ENSMUSG00000021253,mouse,TGFβ3,False
ENSG00000258876,17.626743,TGFB3-AS1,TGFB3 antisense RNA 1,ENSG00000258876,human,TGFβ3,False
109729179,17.59501,TGFB3-AS1,TGFB3 antisense RNA 1,,human,TGFβ3,False
4087,87.242485,SMAD2,SMAD family member 2,ENSG00000175387,human,SMAD2,False
17126,72.391106,Smad2,SMAD family member 2,ENSMUSG00000024563,mouse,SMAD2,False
4088,87.564766,SMAD3,SMAD family member 3,ENSG00000166949,human,SMAD3,True
17127,73.75289,Smad3,SMAD family member 3,ENSMUSG00000032402,mouse,SMAD3,False
4089,87.70554,SMAD4,SMAD family member 4,ENSG00000141646,human,SMAD4,True
17128,73.05515,Smad4,SMAD family member 4,ENSMUSG00000024515,mouse,SMAD4,False
4093,10.776633,SMAD9,SMAD family member 9,ENSG00000120693,human,SMAD,True
4087,10.776633,SMAD2,SMAD family member 2,ENSG00000175387,human,SMAD,False
4091,10.75258,SMAD6,SMAD family member 6,ENSG00000137834,human,SMAD,False
4089,10.75258,SMAD4,SMAD family member 4,ENSG00000141646,human,SMAD,True
4086,10.731517,SMAD1,SMAD family member 1,ENSG00000170365,human,SMAD,True
4088,10.6955805,SMAD3,SMAD family member 3,ENSG00000166949,human,SMAD,True
4090,10.593908,SMAD5,SMAD family member 5,ENSG00000113658,human,SMAD,True
4092,10.593908,SMAD7,SMAD family member 7,ENSG00000101665,human,SMAD,False
79753,9.690294,SNIP1,Smad nuclear interacting protein 1,ENSG00000163877,human,SMAD,False
17125,9.117216,Smad1,SMAD family member 1,ENSMUSG00000031681,mouse,SMAD,False
3575,17.518541,IL7R,interleukin 7 receptor,ENSG00000168685,human,CD127,False
16197,14.531312,Il7r,interleukin 7 receptor,ENSMUSG00000003882,mouse,CD127,False
3684,17.106958,ITGAM,integrin subunit alpha M,ENSG00000169896,human,CD11B,False
16409,14.527739,Itgam,integrin alpha M,ENSMUSG00000030786,mouse,CD11B,False
8273,18.80034,SLC10A3,solute carrier family 10 member 3,ENSG00000126903,human,P3,False
5394,18.787266,EXOSC10,exosome component 10,ENSG00000171824,human,P3,False
518,17.534094,ATP5MC3,ATP synthase membrane subunit c locus 3,ENSG00000154518,human,P3,False
14683,15.309604,Gnas,"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus",ENSMUSG00000027523,mouse,P3,False
259036,14.706014,Olfr713,olfactory receptor 713,ENSMUSG00000073898,mouse,P3,False
239759,14.689268,Liph,"lipase, member H",ENSMUSG00000044626,mouse,P3,False
214601,14.689268,Slc10a3,"solute carrier family 10 (sodium/bile acid cotransporter family), member 3",ENSMUSG00000032806,mouse,P3,False
50912,14.689268,Exosc10,exosome component 10,ENSMUSG00000017264,mouse,P3,False
50943,13.840208,FOXP3,forkhead box P3,ENSG00000049768,human,P3,True
20371,11.655997,Foxp3,forkhead box P3,ENSMUSG00000039521,mouse,P3,False
3140,100.11353,MR1,"major histocompatibility complex, class I-related",ENSG00000153029,human,MR1,False
15064,83.87374,Mr1,"major histocompatibility complex, class I-related",ENSMUSG00000026471,mouse,MR1,False
25953,17.583525,PNKD,PNKD metallo-beta-lactamase domain containing,ENSG00000127838,human,MR1,False
5506,18.24568,PPP1R3A,protein phosphatase 1 regulatory subunit 3A,ENSG00000154415,human,GM,False
56187,16.447973,Rabggta,"Rab geranylgeranyl transferase, a subunit",ENSMUSG00000040472,mouse,GM,False
140491,15.340278,Ppp1r3a,"protein phosphatase 1, regulatory subunit 3A",ENSMUSG00000042717,mouse,GM,False
3918,17.927336,LAMC2,laminin subunit gamma 2,ENSG00000058085,human,CSF,False
1437,17.894493,CSF2,colony stimulating factor 2,ENSG00000164400,human,CSF,False
12981,15.758509,Csf2,colony stimulating factor 2 (granulocyte-macrophage),ENSMUSG00000018916,mouse,CSF,False
492961,13.896386,Gcsfis,G-CSF induced splenomegaly,,mouse,CSF,False
7124,89.46335,TNF,tumor necrosis factor,,human,TNF,False
21926,75.35579,Tnf,tumor necrosis factor,ENSMUSG00000024401,mouse,TNF,False
84957,10.028247,RELT,RELT TNF receptor,ENSG00000054967,human,TNF,False
8600,8.988212,TNFSF11,TNF superfamily member 11,ENSG00000120659,human,TNF,False
8741,8.986865,TNFSF13,TNF superfamily member 13,ENSG00000161955,human,TNF,False
8740,8.986246,TNFSF14,TNF superfamily member 14,ENSG00000125735,human,TNF,False
8743,8.982506,TNFSF10,TNF superfamily member 10,ENSG00000121858,human,TNF,False
8744,8.968985,TNFSF9,TNF superfamily member 9,ENSG00000125657,human,TNF,False
9516,8.94946,LITAF,lipopolysaccharide induced TNF factor,ENSG00000189067,human,TNF,False
8995,8.94946,TNFSF18,TNF superfamily member 18,ENSG00000120337,human,TNF,False
5551,14.980461,PRF1,perforin 1,ENSG00000180644,human,PERFORIN,False
18646,9.119022,Prf1,perforin 1 (pore forming protein),ENSMUSG00000037202,mouse,PERFORIN,False
317782,17.880224,CELIAC2,celiac disease 2,,human,CD,False
1493,17.849089,CTLA4,cytotoxic T-lymphocyte associated protein 4,ENSG00000163599,human,CD,False
64127,17.07179,NOD2,nucleotide binding oligomerization domain containing 2,ENSG00000167207,human,CD,False
13033,15.27785,Ctsd,cathepsin D,ENSMUSG00000007891,mouse,CD,False
257632,14.535526,Nod2,nucleotide-binding oligomerization domain containing 2,ENSMUSG00000055994,mouse,CD,False
16974,14.53329,Lrp6,low density lipoprotein receptor-related protein 6,ENSMUSG00000030201,mouse,CD,False
969,91.475716,CD69,CD69 molecule,ENSG00000110848,human,CD69,False
12515,81.3083,Cd69,CD69 antigen,ENSMUSG00000030156,mouse,CD69,False
643,85.30548,CXCR5,C-X-C motif chemokine receptor 5,ENSG00000160683,human,CXCR5,False
12145,71.70921,Cxcr5,chemokine (C-X-C motif) receptor 5,ENSMUSG00000047880,mouse,CXCR5,False
