doc_id,e1_end_chr,e1_start_chr,e1_text,e2_end_chr,e2_start_chr,e2_text,sent_abs_offset,sent_id,sent_len,sent_pos,type,value
PMC4570275,116,113,GITR,54,39,activated CD4+ T,4747,573653,51,28,secreted_cytokine,-1
PMC4570275,116,113,GITR,54,39,activated CD4+ T,4747,573653,51,28,inducing_cytokine,-1
PMC4426762,123,119,IL-22,86,82,Tregs,52952,194330,31,265,secreted_cytokine,-1
PMC4426762,123,119,IL-22,86,82,Tregs,52952,194330,31,265,inducing_cytokine,-1
PMC2195692,69,66,IL-4,97,96,Th,29311,540522,43,167,secreted_cytokine,-1
PMC2195692,69,66,IL-4,97,96,Th,29311,540522,43,167,inducing_cytokine,-1
PMC6170630,293,260,transforming growth factor (TGF)-β,817,811,naïve T,9886,551622,159,55,secreted_cytokine,-1
PMC6170630,293,260,transforming growth factor (TGF)-β,817,811,naïve T,9886,551622,159,55,inducing_cytokine,-1
PMC3431813,47,43,IL-17,3,0,Th17,31875,153283,14,180,secreted_cytokine,1
PMC3431813,47,43,IL-17,3,0,Th17,31875,153283,14,180,inducing_cytokine,-1
PMC165029,157,155,OPN,194,193,Th,13738,477356,42,90,secreted_cytokine,-1
PMC165029,157,155,OPN,194,193,Th,13738,477356,42,90,inducing_cytokine,-1
PMC4451129,14,10,IL-23,74,71,iNKT,25047,767699,17,158,secreted_cytokine,-1
PMC4451129,14,10,IL-23,74,71,iNKT,25047,767699,17,158,inducing_cytokine,-1
PMC5542238,31,27,IFN-γ,206,199,Vγ9Vδ2 T,7232,164996,40,45,secreted_cytokine,-1
PMC5542238,31,27,IFN-γ,206,199,Vγ9Vδ2 T,7232,164996,40,45,inducing_cytokine,-1
PMC1526552,76,72,TGF-β,240,239,Th,16260,338046,47,97,secreted_cytokine,-1
PMC1526552,76,72,TGF-β,240,239,Th,16260,338046,47,97,inducing_cytokine,-1
PMC5638524,50,47,Il1r,250,247,Th17,40956,722591,40,230,secreted_cytokine,-1
PMC5638524,50,47,Il1r,250,247,Th17,40956,722591,40,230,inducing_cytokine,-1
PMC6052877,116,113,IL-2,145,143,Th2,34227,191514,30,245,secreted_cytokine,-1
PMC6052877,116,113,IL-2,145,143,Th2,34227,191514,30,245,inducing_cytokine,-1
PMC3989236,154,149,IL-17A,83,76,T helper,22375,735995,52,134,secreted_cytokine,1
PMC3989236,154,149,IL-17A,83,76,T helper,22375,735995,52,134,inducing_cytokine,-1
PMC3058575,81,77,IL-17,14,11,γδ T,10824,20043,20,70,secreted_cytokine,1
PMC3058575,81,77,IL-17,14,11,γδ T,10824,20043,20,70,inducing_cytokine,-1
PMC5062562,76,72,IL-17,142,137,iNKT17,13753,31420,31,83,secreted_cytokine,-1
PMC5062562,76,72,IL-17,142,137,iNKT17,13753,31420,31,83,inducing_cytokine,-1
PMC4005031,167,164,TGFβ,200,197,Th17,33019,787945,37,149,inducing_cytokine,1
PMC4005031,167,164,TGFβ,200,197,Th17,33019,787945,37,149,secreted_cytokine,-1
PMC5520377,118,115,Ifng,44,42,Th1,40020,690308,24,219,secreted_cytokine,-1
PMC5520377,118,115,Ifng,44,42,Th1,40020,690308,24,219,inducing_cytokine,-1
PMC3012178,116,112,IL-17,229,226,Treg,28577,393065,46,204,secreted_cytokine,-1
PMC3012178,116,112,IL-17,229,226,Treg,28577,393065,46,204,inducing_cytokine,-1
PMC6013748,186,182,CXCR5,128,126,TFH,33251,405251,60,225,secreted_cytokine,-1
PMC6013748,186,182,CXCR5,128,126,TFH,33251,405251,60,225,inducing_cytokine,-1
PMC6327259,76,73,IL-6,90,87,TH17,4446,332901,35,27,inducing_cytokine,1
PMC6327259,76,73,IL-6,90,87,TH17,4446,332901,35,27,secreted_cytokine,-1
PMC3320552,98,95,IFNγ,71,69,Th1,19169,338470,33,138,secreted_cytokine,-1
PMC3320552,98,95,IFNγ,71,69,Th1,19169,338470,33,138,inducing_cytokine,-1
PMC5614937,811,807,IFN-γ,2303,2301,Th1,26728,501275,846,155,secreted_cytokine,-1
PMC5614937,811,807,IFN-γ,2303,2301,Th1,26728,501275,846,155,inducing_cytokine,-1
PMC5614937,1206,1202,IFN-γ,2575,2568,memory T,26728,501275,846,155,secreted_cytokine,-1
PMC5614937,1206,1202,IFN-γ,2575,2568,memory T,26728,501275,846,155,inducing_cytokine,-1
PMC3945471,3,0,IL-6,41,35,naïve T,17025,522969,18,142,secreted_cytokine,-1
PMC3945471,3,0,IL-6,41,35,naïve T,17025,522969,18,142,inducing_cytokine,-1
PMC3674373,50,45,killer,24,14,cytotoxic T,1260,316612,40,7,secreted_cytokine,-1
PMC3674373,50,45,killer,24,14,cytotoxic T,1260,316612,40,7,inducing_cytokine,-1
PMC5979006,1469,1465,Il2rg,4203,4193,T helper 17,22169,712797,809,131,secreted_cytokine,-1
PMC5979006,1469,1465,Il2rg,4203,4193,T helper 17,22169,712797,809,131,inducing_cytokine,-1
PMC3825182,61,57,IL-10,77,73,Tregs,16118,215858,22,86,secreted_cytokine,1
PMC3825182,61,57,IL-10,77,73,Tregs,16118,215858,22,86,inducing_cytokine,-1
PMC4491892,29,25,IL-12,109,107,Th1,3331,315667,24,22,secreted_cytokine,-1
PMC4491892,29,25,IL-12,109,107,Th1,3331,315667,24,22,inducing_cytokine,-1
PMC5542238,87,83,IFN-γ,127,120,Vγ9Vδ2 T,29233,165140,22,189,secreted_cytokine,1
PMC5542238,87,83,IFN-γ,127,120,Vγ9Vδ2 T,29233,165140,22,189,inducing_cytokine,-1
PMC5818395,70,66,IL-10,119,117,Tr1,6652,516710,22,34,secreted_cytokine,1
PMC5818395,70,66,IL-10,119,117,Tr1,6652,516710,22,34,inducing_cytokine,-1
PMC4098124,87,83,IL-12,210,207,Treg,46695,353754,56,227,secreted_cytokine,-1
PMC4098124,87,83,IL-12,210,207,Treg,46695,353754,56,227,inducing_cytokine,-1
PMC3236218,122,118,IFN-γ,185,182,iNKT,24711,370284,46,140,secreted_cytokine,-1
PMC3236218,122,118,IFN-γ,185,182,iNKT,24711,370284,46,140,inducing_cytokine,-1
PMC4401271,71,67,TGF-β,168,166,EMT,9624,470534,35,48,secreted_cytokine,-1
PMC4401271,71,67,TGF-β,168,166,EMT,9624,470534,35,48,inducing_cytokine,-1
PMC4391991,54,50,IL-35,152,148,Tregs,17309,299494,25,113,secreted_cytokine,-1
PMC4391991,54,50,IL-35,152,148,Tregs,17309,299494,25,113,inducing_cytokine,-1
PMC3731939,86,83,IL-2,144,141,Treg,47333,603317,27,325,secreted_cytokine,-1
PMC3731939,86,83,IL-2,144,141,Treg,47333,603317,27,325,inducing_cytokine,-1
PMC2768861,36,33,IL-6,121,119,Th1,14353,702131,31,87,secreted_cytokine,-1
PMC2768861,36,33,IL-6,121,119,Th1,14353,702131,31,87,inducing_cytokine,-1
PMC5374155,213,209,IL-12,88,86,Th1,9319,700113,46,45,secreted_cytokine,-1
PMC5374155,213,209,IL-12,88,86,Th1,9319,700113,46,45,inducing_cytokine,-1
PMC3566915,26,24,IL6,95,92,Treg,41659,727522,47,210,secreted_cytokine,-1
PMC3566915,26,24,IL6,95,92,Treg,41659,727522,47,210,inducing_cytokine,-1
PMC3042606,49,45,IL-23,354,352,Th1,5647,396398,63,36,secreted_cytokine,-1
PMC3042606,49,45,IL-23,354,352,Th1,5647,396398,63,36,inducing_cytokine,-1
PMC3219065,490,460,transforming growth factor-beta,554,551,Th17,31917,761672,132,160,secreted_cytokine,-1
PMC3219065,490,460,transforming growth factor-beta,554,551,Th17,31917,761672,132,160,inducing_cytokine,-1
PMC6179249,115,111,CXCR5,125,118,memory T,22319,239190,29,153,secreted_cytokine,1
PMC6179249,115,111,CXCR5,125,118,memory T,22319,239190,29,153,inducing_cytokine,-1
PMC6444305,388,355,transforming growth factor (TGF)-β,47,40,T-helper,3011,505992,65,18,secreted_cytokine,-1
PMC6444305,388,355,transforming growth factor (TGF)-β,47,40,T-helper,3011,505992,65,18,inducing_cytokine,-1
PMC4098124,116,112,IL-35,122,119,Treg,43059,353736,39,209,secreted_cytokine,1
PMC4098124,116,112,IL-35,122,119,Treg,43059,353736,39,209,inducing_cytokine,-1
PMC5614937,2247,2243,IFN-γ,2489,2487,NKT,26728,501275,846,155,secreted_cytokine,-1
PMC5614937,2247,2243,IFN-γ,2489,2487,NKT,26728,501275,846,155,inducing_cytokine,-1
PMC3989236,188,185,IL-4,193,191,Th2,22375,735995,52,134,secreted_cytokine,-1
PMC3989236,188,185,IL-4,193,191,Th2,22375,735995,52,134,inducing_cytokine,-1
PMC5290950,222,219,IL-2,310,307,Th17,32412,757815,128,212,secreted_cytokine,-1
PMC5290950,222,219,IL-2,310,307,Th17,32412,757815,128,212,inducing_cytokine,-1
PMC6006719,146,143,Ifng,182,179,Th-1,16379,366583,55,92,secreted_cytokine,-1
PMC6006719,146,143,Ifng,182,179,Th-1,16379,366583,55,92,inducing_cytokine,-1
PMC6459942,1904,1900,IL-27,3574,3572,Th2,13741,708497,987,84,secreted_cytokine,-1
PMC6459942,1904,1900,IL-27,3574,3572,Th2,13741,708497,987,84,inducing_cytokine,-1
PMC6417281,121,117,IL-21,84,82,TFH,25495,503949,40,170,secreted_cytokine,1
PMC6417281,121,117,IL-21,84,82,TFH,25495,503949,40,170,inducing_cytokine,-1
PMC5476698,106,103,IL-5,59,57,Th2,42683,331213,36,282,secreted_cytokine,1
PMC5476698,106,103,IL-5,59,57,Th2,42683,331213,36,282,inducing_cytokine,-1
PMC5974104,30,18,interleukin-2,168,166,TFH,4606,768182,32,23,secreted_cytokine,-1
PMC5974104,30,18,interleukin-2,168,166,TFH,4606,768182,32,23,inducing_cytokine,-1
PMC2118518,191,187,IL-17,74,73,Th,2914,539170,39,21,secreted_cytokine,-1
PMC2118518,191,187,IL-17,74,73,Th,2914,539170,39,21,inducing_cytokine,-1
PMC6459942,2496,2492,IFN-γ,2236,2234,Th2,13741,708497,987,84,secreted_cytokine,-1
PMC6459942,2496,2492,IFN-γ,2236,2234,Th2,13741,708497,987,84,inducing_cytokine,-1
PMC4862606,212,208,IL-10,286,280,naïve T,32859,57917,52,199,secreted_cytokine,-1
PMC4862606,212,208,IL-10,286,280,naïve T,32859,57917,52,199,inducing_cytokine,-1
PMC5979006,280,266,interleukin 17F,325,321,iTreg,36152,712847,153,181,secreted_cytokine,-1
PMC5979006,280,266,interleukin 17F,325,321,iTreg,36152,712847,153,181,inducing_cytokine,-1
PMC4917985,86,82,IL-33,28,18,cytotoxic T,29887,579919,42,199,secreted_cytokine,-1
PMC4917985,86,82,IL-33,28,18,cytotoxic T,29887,579919,42,199,inducing_cytokine,-1
PMC3566915,179,176,IL-9,134,132,Th9,26906,727459,51,147,secreted_cytokine,-1
PMC3566915,179,176,IL-9,134,132,Th9,26906,727459,51,147,inducing_cytokine,-1
PMC5462914,139,136,IL-6,152,149,Th17,27683,534202,38,179,inducing_cytokine,1
PMC5462914,139,136,IL-6,152,149,Th17,27683,534202,38,179,secreted_cytokine,-1
PMC4494209,51,47,IL-22,90,87,Th17,15978,701388,32,91,secreted_cytokine,1
PMC4494209,51,47,IL-22,90,87,Th17,15978,701388,32,91,inducing_cytokine,-1
PMC3149619,98,95,CVID,84,81,Th17,21113,520024,25,119,secreted_cytokine,-1
PMC3149619,98,95,CVID,84,81,Th17,21113,520024,25,119,inducing_cytokine,-1
PMC5040449,145,141,IL-10,93,91,Th1,7225,399322,47,37,secreted_cytokine,-1
PMC5040449,145,141,IL-10,93,91,Th1,7225,399322,47,37,inducing_cytokine,-1
PMC3328619,28,24,TGF-β,106,104,Th2,11509,196986,21,67,secreted_cytokine,-1
PMC3328619,28,24,TGF-β,106,104,Th2,11509,196986,21,67,inducing_cytokine,-1
PMC4365319,18,14,4-1BB,79,69,cytotoxic T,31991,213880,43,179,inducing_cytokine,1
PMC4365319,18,14,4-1BB,79,69,cytotoxic T,31991,213880,43,179,secreted_cytokine,-1
PMC5192530,13,0,Interleukin-10,140,137,Treg,18410,571947,41,81,secreted_cytokine,-1
PMC5192530,13,0,Interleukin-10,140,137,Treg,18410,571947,41,81,inducing_cytokine,-1
PMC3558252,29,25,IL-10,70,66,Tregs,25132,374626,20,142,secreted_cytokine,-1
PMC3558252,29,25,IL-10,70,66,Tregs,25132,374626,20,142,inducing_cytokine,-1
PMC5070721,143,139,IL-1β,71,64,helper T,2167,274848,87,15,secreted_cytokine,1
PMC5070721,143,139,IL-1β,71,64,helper T,2167,274848,87,15,inducing_cytokine,-1
PMC5529425,45,41,OX40L,96,92,Tregs,33838,373758,23,234,secreted_cytokine,-1
PMC5529425,45,41,OX40L,96,92,Tregs,33838,373758,23,234,inducing_cytokine,-1
PMC5438737,349,345,IL-23,274,271,Th22,26115,73623,84,136,secreted_cytokine,-1
PMC5438737,349,345,IL-23,274,271,Th22,26115,73623,84,136,inducing_cytokine,-1
PMC3009981,100,97,FasL,129,126,CTLs,5377,431562,24,33,secreted_cytokine,1
PMC3009981,100,97,FasL,129,126,CTLs,5377,431562,24,33,inducing_cytokine,-1
PMC2869028,39,36,CCR5,174,172,Th1,6180,295751,32,30,secreted_cytokine,-1
PMC2869028,39,36,CCR5,174,172,Th1,6180,295751,32,30,inducing_cytokine,-1
PMC4405077,117,114,IL-2,17,14,Th17,35780,375521,57,258,secreted_cytokine,-1
PMC4405077,117,114,IL-2,17,14,Th17,35780,375521,57,258,inducing_cytokine,-1
PMC4077043,94,90,IL-10,51,48,Treg,947,279653,47,5,secreted_cytokine,1
PMC4077043,94,90,IL-10,51,48,Treg,947,279653,47,5,inducing_cytokine,-1
PMC5747519,221,219,Maf,176,173,Treg,19748,707893,45,121,secreted_cytokine,-1
PMC5747519,221,219,Maf,176,173,Treg,19748,707893,45,121,inducing_cytokine,-1
PMC5173167,192,189,IL-4,225,222,Treg,30954,771676,45,201,secreted_cytokine,-1
PMC5173167,192,189,IL-4,225,222,Treg,30954,771676,45,201,inducing_cytokine,-1
PMC5222918,108,104,CCL20,148,146,TH9,22233,324372,60,130,secreted_cytokine,-1
PMC5222918,108,104,CCL20,148,146,TH9,22233,324372,60,130,inducing_cytokine,-1
PMC6459942,1530,1526,IL-27,1464,1462,Th1,13741,708497,987,84,secreted_cytokine,-1
PMC6459942,1530,1526,IL-27,1464,1462,Th1,13741,708497,987,84,inducing_cytokine,-1
PMC3078329,66,62,IL-23,110,107,Treg,24793,518559,28,126,secreted_cytokine,-1
PMC3078329,66,62,IL-23,110,107,Treg,24793,518559,28,126,inducing_cytokine,-1
PMC6092783,2565,2560,Killer,242,240,Th2,36468,220838,904,223,secreted_cytokine,-1
PMC6092783,2565,2560,Killer,242,240,Th2,36468,220838,904,223,inducing_cytokine,-1
PMC3804955,115,111,IL-17,16,10,naive T,15717,737442,52,99,secreted_cytokine,-1
PMC3804955,115,111,IL-17,16,10,naive T,15717,737442,52,99,inducing_cytokine,-1
PMC5025763,69,66,IL-4,137,135,Th2,27614,707678,30,168,inducing_cytokine,1
PMC5025763,69,66,IL-4,137,135,Th2,27614,707678,30,168,secreted_cytokine,-1
PMC3201209,291,287,IL-12,183,181,Th1,43306,568445,105,312,secreted_cytokine,-1
PMC3201209,291,287,IL-12,183,181,Th1,43306,568445,105,312,inducing_cytokine,-1
PMC6459942,2300,2297,IL33,513,504,thymocytes,13741,708497,987,84,secreted_cytokine,-1
PMC6459942,2300,2297,IL33,513,504,thymocytes,13741,708497,987,84,inducing_cytokine,-1
PMC4831524,60,56,IFN-γ,196,193,Tc17,4877,514925,37,28,secreted_cytokine,-1
PMC4831524,60,56,IFN-γ,196,193,Tc17,4877,514925,37,28,inducing_cytokine,-1
PMC4046568,82,79,IL-4,112,110,Th2,58578,762865,25,347,secreted_cytokine,-1
PMC4046568,82,79,IL-4,112,110,Th2,58578,762865,25,347,inducing_cytokine,-1
PMC6295478,95,92,CCR6,23,20,Th17,4124,578357,29,26,secreted_cytokine,1
PMC6295478,95,92,CCR6,23,20,Th17,4124,578357,29,26,inducing_cytokine,-1
PMC2905957,127,124,IFNγ,2,0,TH1,38366,525565,49,260,secreted_cytokine,1
PMC2905957,127,124,IFNγ,2,0,TH1,38366,525565,49,260,inducing_cytokine,-1
PMC4405077,204,200,IL-10,127,124,Th17,23713,375451,39,188,secreted_cytokine,1
PMC4405077,204,200,IL-10,127,124,Th17,23713,375451,39,188,inducing_cytokine,-1
PMC6459942,1879,1876,IL-6,3574,3572,Th2,13741,708497,987,84,secreted_cytokine,-1
PMC6459942,1879,1876,IL-6,3574,3572,Th2,13741,708497,987,84,inducing_cytokine,-1
PMC5575165,265,261,IFN-γ,182,180,Th1,24242,751658,58,163,secreted_cytokine,1
PMC5575165,265,261,IFN-γ,182,180,Th1,24242,751658,58,163,inducing_cytokine,-1
PMC4928347,112,109,IFNγ,61,59,Th1,33782,160872,35,217,secreted_cytokine,1
PMC4928347,112,109,IFNγ,61,59,Th1,33782,160872,35,217,inducing_cytokine,-1
PMC2193457,119,115,IL-12,38,36,Th1,7887,787701,50,60,secreted_cytokine,-1
PMC2193457,119,115,IL-12,38,36,Th1,7887,787701,50,60,inducing_cytokine,-1
PMC5563507,118,115,IL-6,11,0,Naive CD4+ T,65840,714984,53,419,secreted_cytokine,-1
PMC5563507,118,115,IL-6,11,0,Naive CD4+ T,65840,714984,53,419,inducing_cytokine,-1
PMC4299512,101,98,IL-1,71,56,activated CD8+ T,10142,713463,39,69,secreted_cytokine,-1
PMC4299512,101,98,IL-1,71,56,activated CD8+ T,10142,713463,39,69,inducing_cytokine,-1
