category,extid,label,namespace,parent,priority,species,species_id,syn,syn_typ,pref_lbl,pref_id,enabled
organism-gene,PR:O94684,RNA polymerase II transcription factor B subunit 3 (Schizosaccharomyces pombe 972h-),protein,,2.0,any,3.0,tfb3,related,tfb3,PR:O94684,True
gene,PR:000016753,tetraspanin-7,protein,,5.0,any,3.0,tetraspanin-7,label,CD231,PR:000016753,True
gene,PR:000005175,CD63 molecule,protein,,4.0,any,3.0,tetraspanin-30,exact,CD63,PR:000005175,True
gene,PR:000005178,CD9 molecule,protein,,4.0,any,3.0,tetraspanin-29,exact,CD9,PR:000005178,True
gene,PR:000005176,CD81 molecule,protein,,4.0,any,3.0,tetraspanin-28,exact,CD81,PR:000005176,True
gene,PR:000005177,CD82 molecule,protein,,4.0,any,3.0,tetraspanin-27,exact,CD82,PR:000005177,True
gene,PR:000005170,CD37 molecule,protein,,4.0,any,3.0,tetraspanin-26,exact,CD37,PR:000005170,True
gene,PR:000005172,CD53 molecule,protein,,4.0,any,3.0,tetraspanin-25,exact,CD53,PR:000005172,True
gene,PR:000005158,CD151 molecule,protein,,4.0,any,3.0,tetraspanin-24,exact,CD151,PR:000005158,True
gene,PR:000001326,bone marrow stromal antigen 2,protein,,4.0,any,3.0,tetherin,exact,CD317,PR:000001326,True
gene,PR:000005299,testis-specific chromodomain protein Y 2,protein,,5.0,any,3.0,testis-specific chromodomain protein Y 2,label,CDY2,PR:000005299,True
gene,PR:000037037,testis-specific chromodomain protein Y 1,protein,,5.0,any,3.0,testis-specific chromodomain protein Y 1,label,CDY1,PR:000037037,True
gene,PR:000016761,testis-specific Y-encoded-like protein 2,protein,,5.0,any,3.0,testis-specific Y-encoded-like protein 2,label,CDA1,PR:000016761,True
gene,PR:000006942,EH domain-containing protein 1,protein,,4.0,any,3.0,testilin,exact,PAST,PR:000006942,True
gene,PR:000014552,syndecan-2,protein,,5.0,any,3.0,syndecan-2,label,CD362,PR:000014552,True
gene,PR:000001935,syndecan-1,protein,,5.0,any,3.0,syndecan-1,label,CD138,PR:000001935,True
organism-gene,PR:P04551,cyclin-dependent kinase 1 (Schizosaccharomyces pombe 972h-),protein,,2.0,any,3.0,swo2,related,swo2,PR:P04551,True
organism-gene,PR:Q9UH64,susceptibility protein NSG-x (human),protein,,5.0,human,2.0,susceptibility protein NSG-x,label,hCDKN2A-AS1,PR:Q9UH64,True
gene,PR:000001706,sphingosine 1-phosphate receptor 1,protein,,5.0,any,3.0,sphingosine 1-phosphate receptor 1,label,CD363,PR:000001706,True
gene,PR:000005223,sororin,protein,,5.0,any,3.0,sororin,label,CDCA5,PR:000005223,True
gene,PR:000014887,signal-regulatory protein gamma,protein,,5.0,any,3.0,signal-regulatory protein gamma,label,CD172g,PR:000014887,True
gene,PR:000002086,signal-regulatory protein beta-1,protein,,5.0,any,3.0,signal-regulatory protein beta-1,label,CD172b,PR:000002086,True
modification,PR:000018598,"signal transducer CD24, signal peptide removed form",protein,PR:000001932,5.0,any,3.0,"signal transducer CD24, signal peptide removed form",label,"signal transducer CD24, signal peptide removed form",PR:000018598,True
sequence,PR:000039124,signal transducer CD24 isoform 1,protein,PR:000001932,5.0,any,3.0,signal transducer CD24 isoform 1,label,signal transducer CD24 isoform 1,PR:000039124,True
gene,PR:000001932,signal transducer CD24,protein,,5.0,any,3.0,signal transducer CD24,label,CD24,PR:000001932,True
gene,PR:000001927,sialic acid-binding Ig-like lectin 5,protein,,4.0,any,3.0,siglec-F,exact,CD170,PR:000001927,True
gene,PR:000001930,sialic acid-binding Ig-like lectin 8,protein,,4.0,any,3.0,siglec-8,exact,CD329,PR:000001930,True
gene,PR:000001929,sialic acid-binding Ig-like lectin 7,protein,,4.0,any,3.0,siglec-7,exact,CD328,PR:000001929,True
gene,PR:000001928,sialic acid-binding Ig-like lectin 6,protein,,4.0,any,3.0,siglec-6,exact,CD33L,PR:000001928,True
gene,PR:000001927,sialic acid-binding Ig-like lectin 5,protein,,4.0,any,3.0,siglec-5,exact,CD170,PR:000001927,True
gene,PR:000001892,CD33 molecule,protein,,4.0,any,3.0,siglec-3,exact,CD33,PR:000001892,True
gene,PR:000001288,B-cell receptor CD22,protein,,4.0,any,3.0,siglec-2,exact,CD22,PR:000001288,True
gene,PR:000014868,sialic acid-binding Ig-like lectin 15,protein,,4.0,any,3.0,siglec-15,exact,CD33L3,PR:000014868,True
gene,PR:000001931,sialoadhesin,protein,,4.0,any,3.0,siglec-1,exact,CD169,PR:000001931,True
gene,PR:000001879,leukosialin,protein,,4.0,any,3.0,sialophorin,exact,CD43,PR:000001879,True
gene,PR:000001922,sialomucin core protein 24,protein,,5.0,any,3.0,sialomucin core protein 24,label,CD164,PR:000001922,True
gene,PR:000001931,sialoadhesin,protein,,5.0,any,3.0,sialoadhesin,label,CD169,PR:000001931,True
gene,PR:000001930,sialic acid-binding Ig-like lectin 8,protein,,5.0,any,3.0,sialic acid-binding Ig-like lectin 8,label,CD329,PR:000001930,True
gene,PR:000001929,sialic acid-binding Ig-like lectin 7,protein,,5.0,any,3.0,sialic acid-binding Ig-like lectin 7,label,CD328,PR:000001929,True
gene,PR:000001928,sialic acid-binding Ig-like lectin 6,protein,,5.0,any,3.0,sialic acid-binding Ig-like lectin 6,label,CD33L,PR:000001928,True
gene,PR:000001927,sialic acid-binding Ig-like lectin 5,protein,,5.0,any,3.0,sialic acid-binding Ig-like lectin 5,label,CD170,PR:000001927,True
gene,PR:000014868,sialic acid-binding Ig-like lectin 15,protein,,5.0,any,3.0,sialic acid-binding Ig-like lectin 15,label,CD33L3,PR:000014868,True
gene,PR:000001308,CD48 molecule,protein,,4.0,any,3.0,sgp-60,exact,CD48,PR:000001308,True
gene,PR:000014659,septin-7,protein,,5.0,any,3.0,septin-7,label,CDC10,PR:000014659,True
gene,PR:000014657,septin-5,protein,,5.0,any,3.0,septin-5,label,CDCrel-1,PR:000014657,True
gene,PR:000014656,septin-4,protein,,5.0,any,3.0,septin-4,label,CDCREL-2,PR:000014656,True
gene,PR:000002085,semaphorin-7A,protein,,4.0,any,3.0,semaphorin-L,exact,CD108,PR:000002085,True
gene,PR:000002085,semaphorin-7A,protein,,4.0,any,3.0,semaphorin-K1,exact,CD108,PR:000002085,True
gene,PR:000002084,semaphorin-4D,protein,,4.0,any,3.0,semaphorin-J,exact,CD100,PR:000002084,True
gene,PR:000002085,semaphorin-7A,protein,,5.0,any,3.0,semaphorin-7A,label,CD108,PR:000002085,True
gene,PR:000002084,semaphorin-4D,protein,,5.0,any,3.0,semaphorin-4D,label,CD100,PR:000002084,True
gene,PR:000015416,sclerostin domain-containing protein 1,protein,,5.0,any,3.0,sclerostin domain-containing protein 1,label,USAG1,PR:000015416,True
modification,PR:000019266,"scavenger receptor cysteine-rich type 1 protein M160, signal peptide removed form",protein,PR:000005159,5.0,any,3.0,"scavenger receptor cysteine-rich type 1 protein M160, signal peptide removed form",label,"scavenger receptor cysteine-rich type 1 protein M160, signal peptide removed form",PR:000019266,True
gene,PR:000005159,scavenger receptor cysteine-rich type 1 protein M160,protein,,5.0,any,3.0,scavenger receptor cysteine-rich type 1 protein M160,label,CD163b,PR:000005159,True
modification,PR:000018594,scavenger receptor cysteine-rich type 1 protein M130 proteolytic cleavage product,protein,PR:000001925,5.0,any,3.0,scavenger receptor cysteine-rich type 1 protein M130 proteolytic cleavage product,label,scavenger receptor cysteine-rich type 1 protein M130 proteolytic cleavage product,PR:000018594,True
gene,PR:000001925,scavenger receptor cysteine-rich type 1 protein M130,protein,,5.0,any,3.0,scavenger receptor cysteine-rich type 1 protein M130,label,CD163,PR:000001925,True
gene,PR:000014493,scavenger receptor class B member 1,protein,,5.0,any,3.0,scavenger receptor class B member 1,label,CD36L1,PR:000014493,True
sequence,PR:000025404,T-cell surface glycoprotein CD8 alpha chain isoform 2,protein,PR:000001084,4.0,any,3.0,sCD8alpha,exact,sCD8alpha,PR:000025404,True
gene,PR:000023846,DNA-directed RNA polymerase subunit beta',protein,,4.0,any,3.0,rpoC,exact,rpoC,PR:000023846,True
gene,PR:000023845,DNA-directed RNA polymerase subunit beta,protein,,4.0,any,3.0,rpoB,exact,rpoB,PR:000023845,True
gene,PR:000023844,DNA-directed RNA polymerase subunit alpha,protein,,4.0,any,3.0,rpoA,exact,rpoA,PR:000023844,True
gene,PR:000001924,receptor-type tyrosine-protein phosphatase eta,protein,,5.0,any,3.0,receptor-type tyrosine-protein phosphatase eta,label,CD148,PR:000001924,True
sequence,PR:000025801,receptor-type tyrosine-protein phosphatase C isoform CD45RC,protein,PR:000001006,5.0,any,3.0,receptor-type tyrosine-protein phosphatase C isoform CD45RC,label,CD45RC,PR:000025801,True
sequence,PR:000025804,receptor-type tyrosine-protein phosphatase C isoform CD45RBC,protein,PR:000001006,5.0,any,3.0,receptor-type tyrosine-protein phosphatase C isoform CD45RBC,label,CD45RBC,PR:000025804,True
sequence,PR:000025803,receptor-type tyrosine-protein phosphatase C isoform CD45RAC,protein,PR:000001006,5.0,any,3.0,receptor-type tyrosine-protein phosphatase C isoform CD45RAC,label,CD45RAC,PR:000025803,True
sequence,PR:000025802,receptor-type tyrosine-protein phosphatase C isoform CD45RAB,protein,PR:000001006,5.0,any,3.0,receptor-type tyrosine-protein phosphatase C isoform CD45RAB,label,CD45RAB,PR:000025802,True
sequence,PR:000001015,receptor-type tyrosine-protein phosphatase C isoform CD45RA,protein,PR:000001006,5.0,any,3.0,receptor-type tyrosine-protein phosphatase C isoform CD45RA,label,CD45RA,PR:000001015,True
sequence,PR:000001014,receptor-type tyrosine-protein phosphatase C isoform CD45R,protein,PR:000001006,5.0,any,3.0,receptor-type tyrosine-protein phosphatase C isoform CD45R,label,CD45R,PR:000001014,True
gene,PR:000001006,receptor-type tyrosine-protein phosphatase C,protein,,5.0,any,3.0,receptor-type tyrosine-protein phosphatase C,label,CD45,PR:000001006,True
gene,PR:000002001,receptor-type tyrosine-protein kinase FLT3,protein,,5.0,any,3.0,receptor-type tyrosine-protein kinase FLT3,label,CD135,PR:000002001,True
gene,PR:000002082,receptor tyrosine-protein kinase erbB-2,protein,,5.0,any,3.0,receptor tyrosine-protein kinase erbB-2,label,CD340,PR:000002082,True
gene,PR:000013756,Ras-specific guanine nucleotide-releasing factor 1,protein,,4.0,any,3.0,ras-GRF1,exact,CDC25Mm,PR:000013756,True
gene,PR:000000281,growth/differentiation factor 5,protein,,4.0,any,3.0,radotermin,exact,CDMP1,PR:000000281,True
gene,PR:000001296,CD109 molecule,protein,,4.0,any,3.0,r150,exact,CD109,PR:000001296,True
gene,PR:000034945,7-carboxy-7-deazaguanine synthase,protein,,4.0,any,3.0,queE,exact,queE,PR:000034945,True
gene,PR:000023620,CDP-diacylglycerol--serine O-phosphatidyltransferase,protein,,4.0,any,3.0,pssA,exact,CDP-diacylglycerol--serine O-phosphatidyltransferase,PR:000023620,True
organism-gene,PR:P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase (Escherichia coli K-12),protein,PR:000023620,2.0,any,3.0,pss,related,CDP-diacylglycerol--serine O-phosphatidyltransferase (Escherichia coli K-12),PR:P23830,True
gene,PR:000012352,cadherin-related family member 2,protein,,4.0,any,3.0,protocadherin-24,exact,CDHR2,PR:000012352,True
gene,PR:000006307,protocadherin-23,protein,,5.0,any,3.0,protocadherin-23,label,CDHJ,PR:000006307,True
gene,PR:000012351,cadherin-related family member 1,protein,,4.0,any,3.0,protocadherin-21,exact,CDHR1,PR:000012351,True
gene,PR:000006306,protocadherin-16,protein,,5.0,any,3.0,protocadherin-16,label,CDH25,PR:000006306,True
gene,PR:000012390,protocadherin gamma-A12,protein,,5.0,any,3.0,protocadherin gamma-A12,label,CDH21,PR:000012390,True
gene,PR:000007353,protocadherin Fat 4,protein,,5.0,any,3.0,protocadherin Fat 4,label,CDHF14,PR:000007353,True
gene,PR:000007352,protocadherin Fat 3,protein,,5.0,any,3.0,protocadherin Fat 3,label,CDHF15,PR:000007352,True
gene,PR:000007351,protocadherin Fat 2,protein,,5.0,any,3.0,protocadherin Fat 2,label,CDHF8,PR:000007351,True
gene,PR:000007350,protocadherin Fat 1,protein,,5.0,any,3.0,protocadherin Fat 1,label,CDHF7,PR:000007350,True
gene,PR:000013895,proto-oncogene tyrosine-protein kinase receptor Ret,protein,,5.0,any,3.0,proto-oncogene tyrosine-protein kinase receptor Ret,label,CDHF12,PR:000013895,True
gene,PR:000013466,protein tyrosine phosphatase receptor type C-associated protein,protein,,5.0,any,3.0,protein tyrosine phosphatase receptor type C-associated protein,label,CD45-AP,PR:000013466,True
gene,PR:000001921,protein jagged-1,protein,,5.0,any,3.0,protein jagged-1,label,CD339,PR:000001921,True
organism-gene,PR:P0DO92,protein T-ENOL (human),protein,,5.0,human,2.0,protein T-ENOL,label,CDIPT-AS1,PR:P0DO92,True
gene,PR:000031894,protein SCAF8,protein,,5.0,any,3.0,protein SCAF8,label,SCAF8,PR:000031894,True
organism-gene,PR:Q8LPL5,protein FIZZY-RELATED 3 (Arabidopsis thaliana),protein,,5.0,any,3.0,protein FIZZY-RELATED 3 (Arabidopsis thaliana),label,CDH1-3,PR:Q8LPL5,True
organism-gene,PR:Q8L3Z8,protein FIZZY-RELATED 2 (Arabidopsis thaliana),protein,,5.0,any,3.0,protein FIZZY-RELATED 2 (Arabidopsis thaliana),label,CDH1-2,PR:Q8L3Z8,True
organism-gene,PR:Q8VZS9,protein FIZZY-RELATED 1 (Arabidopsis thaliana),protein,,5.0,any,3.0,protein FIZZY-RELATED 1 (Arabidopsis thaliana),label,CDH1-1,PR:Q8VZS9,True
gene,PR:000007236,protein EVI2B,protein,,5.0,any,3.0,protein EVI2B,label,CD361,PR:000007236,True
gene,PR:000029099,protein CNPPD1,protein,,5.0,any,3.0,protein CNPPD1,label,CNPPD1,PR:000029099,True
organism-gene,PR:Q9FN50,"protein CHAPERONE-LIKE PROTEIN OF POR1, chloroplastic (Arabidopsis thaliana)",protein,,5.0,any,3.0,"protein CHAPERONE-LIKE PROTEIN OF POR1, chloroplastic (Arabidopsis thaliana)",label,CDF1,PR:Q9FN50,True
modification,PR:000019292,"protein CDV3, initiator methionine removed form",protein,PR:000005294,5.0,any,3.0,"protein CDV3, initiator methionine removed form",label,"protein CDV3, initiator methionine removed form",PR:000019292,True
modification,PR:000035762,protein CDV3 isoform 2 phosphorylated 1,protein,,5.0,any,3.0,protein CDV3 isoform 2 phosphorylated 1,label,protein CDV3 isoform 2 phosphorylated 1,PR:000035762,True
sequence,PR:000035760,protein CDV3 isoform 2,protein,PR:000005294,5.0,any,3.0,protein CDV3 isoform 2,label,protein CDV3 isoform 2,PR:000035760,True
modification,PR:000035758,protein CDV3 isoform 1 phosphorylated 1,protein,,5.0,any,3.0,protein CDV3 isoform 1 phosphorylated 1,label,protein CDV3 isoform 1 phosphorylated 1,PR:000035758,True
sequence,PR:000035756,protein CDV3 isoform 1,protein,PR:000005294,5.0,any,3.0,protein CDV3 isoform 1,label,protein CDV3 isoform 1,PR:000035756,True
