id,src,sym,lbl,spid,extid,prefid
TF79473FD6A5F2D9A5,lambert,ALX homeobox 4,ALX4,1,ENSG00000052850,TFF1D5BA04DBFEE5EE
TFF2EE01C0E2F4BB46,lambert,CRS5,ALX4,1,ENSG00000052850,TFF1D5BA04DBFEE5EE
TFFF3EBAFFD47D872E,lambert,FND2,ALX4,1,ENSG00000052850,TFF1D5BA04DBFEE5EE
TF273963283ED3CB3E,lambert,ANHX,ANHX,1,ENSG00000227059,TF273963283ED3CB3E
TF6F4953A48DD993FD,lambert,anomalous homeobox,ANHX,1,ENSG00000227059,TF273963283ED3CB3E
TFE22E0D8818DDCCDA,lambert,ANKZF1,ANKZF1,1,ENSG00000163516,TFE22E0D8818DDCCDA
TF2A990BEDE0ED4761,lambert,ankyrin repeat and zinc finger domain containing 1,ANKZF1,1,ENSG00000163516,TFE22E0D8818DDCCDA
TFF13A397D84175269,lambert,Vms1,ANKZF1,1,ENSG00000163516,TFE22E0D8818DDCCDA
TF4FFA9A8612208803,lambert,ZNF744,ANKZF1,1,ENSG00000163516,TFE22E0D8818DDCCDA
TF1E5D7D879239ED31,lambert,androgen receptor,AR,1,ENSG00000169083,TFD165A0EF71E39B97
TFD23BD3BDFC4D8B8E,lambert,AIS,AR,1,ENSG00000169083,TFD165A0EF71E39B97
TF91404AB1679C4C29,lambert,AR8,AR,1,ENSG00000169083,TFD165A0EF71E39B97
TF4D7545DDA94B86FA,lambert,DHTR,AR,1,ENSG00000169083,TFD165A0EF71E39B97
TFB756ED8050CCB79D,lambert,HUMARA,AR,1,ENSG00000169083,TFD165A0EF71E39B97
TF722F0A6201279980,lambert,HYSP1,AR,1,ENSG00000169083,TFD165A0EF71E39B97
TF6272F36267D735FB,lambert,NR3C4,AR,1,ENSG00000169083,TFD165A0EF71E39B97
TFC1C6A0ACC1C22498,lambert,SBMA,AR,1,ENSG00000169083,TFD165A0EF71E39B97
TF148177C5AC6DFCF0,lambert,SMAX1,AR,1,ENSG00000169083,TFD165A0EF71E39B97
TF427F525708894C85,lambert,TFM,AR,1,ENSG00000169083,TFD165A0EF71E39B97
TF22A5A0AF96B2F6B5,lambert,ARGFX,ARGFX,1,ENSG00000186103,TF22A5A0AF96B2F6B5
TFBFCE559E520CE555,lambert,arginine-fifty homeobox,ARGFX,1,ENSG00000186103,TF22A5A0AF96B2F6B5
TF8760291F94235623,lambert,ARHGAP35,ARHGAP35,1,ENSG00000160007,TF8760291F94235623
TF9FD4CC72A6603D72,lambert,Rho GTPase activating protein 35,ARHGAP35,1,ENSG00000160007,TF8760291F94235623
TF29ADE99582F8A770,lambert,GRF-1,ARHGAP35,1,ENSG00000160007,TF8760291F94235623
TF265C5B8483049092,lambert,GRLF1,ARHGAP35,1,ENSG00000160007,TF8760291F94235623
TFF12EDB8EE6116C2A,lambert,P190-A,ARHGAP35,1,ENSG00000160007,TF8760291F94235623
TF81084BD8696DEB57,lambert,P190A,ARHGAP35,1,ENSG00000160007,TF8760291F94235623
TF9BDA74634F6A0186,lambert,p190ARhoGAP,ARHGAP35,1,ENSG00000160007,TF8760291F94235623
TFD29EBEF32E3D1015,lambert,p190RhoGAP,ARHGAP35,1,ENSG00000160007,TF8760291F94235623
TF7BFDF068C090BC90,lambert,ARID2,ARID2,1,ENSG00000189079,TF7BFDF068C090BC90
TFC85A4B2CAD161738,lambert,AT-rich interaction domain 2,ARID2,1,ENSG00000189079,TF7BFDF068C090BC90
TFA4289117CC8A0B00,lambert,BAF200,ARID2,1,ENSG00000189079,TF7BFDF068C090BC90
TF1726B782D9250B59,lambert,CSS6,ARID2,1,ENSG00000189079,TF7BFDF068C090BC90
TFCDB6AA74F2650FC0,lambert,p200,ARID2,1,ENSG00000189079,TF7BFDF068C090BC90
TFD2CA8BD05AC21948,lambert,ARID3A,ARID3A,1,ENSG00000116017,TFD2CA8BD05AC21948
TF0AB9BB942CA0C984,lambert,AT-rich interaction domain 3A,ARID3A,1,ENSG00000116017,TFD2CA8BD05AC21948
TF2073FFDAC30E5A6C,lambert,BRIGHT,ARID3A,1,ENSG00000116017,TFD2CA8BD05AC21948
TFEE8955AF152E75DF,lambert,DRIL1,ARID3A,1,ENSG00000116017,TFD2CA8BD05AC21948
TF159F80BD7FE8BC02,lambert,DRIL3,ARID3A,1,ENSG00000116017,TFD2CA8BD05AC21948
TF799E2885A7175FA3,lambert,E2FBP1,ARID3A,1,ENSG00000116017,TFD2CA8BD05AC21948
TF086B96D87A8B5B74,lambert,ARID3B,ARID3B,1,ENSG00000179361,TF086B96D87A8B5B74
TFFAD867CDBEFED6C8,lambert,AT-rich interaction domain 3B,ARID3B,1,ENSG00000179361,TF086B96D87A8B5B74
TFE77244918C764B5E,lambert,BDP,ARID3B,1,ENSG00000179361,TF086B96D87A8B5B74
TF65F6AB0E141ADDD1,lambert,DRIL2,ARID3B,1,ENSG00000179361,TF086B96D87A8B5B74
TF59AA01E033E9B1AA,lambert,ARID3C,ARID3C,1,ENSG00000205143,TF59AA01E033E9B1AA
TF245D87E872B85C2F,lambert,AT-rich interaction domain 3C,ARID3C,1,ENSG00000205143,TF59AA01E033E9B1AA
TFCC4A1C74E3F1E97A,lambert,ARID5A,ARID5A,1,ENSG00000196843,TFCC4A1C74E3F1E97A
TF11BFB8DD0D108C85,lambert,AT-rich interaction domain 5A,ARID5A,1,ENSG00000196843,TFCC4A1C74E3F1E97A
TFEE8CA377DACEF04B,lambert,MRF-1,ARID5A,1,ENSG00000196843,TFCC4A1C74E3F1E97A
TF1EE45609943E79C9,lambert,MRF1,ARID5A,1,ENSG00000196843,TFCC4A1C74E3F1E97A
TF1D602FC47CCC6546,lambert,RP11-363D14,ARID5A,1,ENSG00000196843,TFCC4A1C74E3F1E97A
TFBEFCAD7478C26789,lambert,ARID5B,ARID5B,1,ENSG00000150347,TFBEFCAD7478C26789
TF59D6FAD611C428C6,lambert,AT-rich interaction domain 5B,ARID5B,1,ENSG00000150347,TFBEFCAD7478C26789
TF8026865915854C47,lambert,DESRT,ARID5B,1,ENSG00000150347,TFBEFCAD7478C26789
TF4C75904B1D770AAC,lambert,MRF-2,ARID5B,1,ENSG00000150347,TFBEFCAD7478C26789
TF9A510977AEF69CB7,lambert,MRF2,ARID5B,1,ENSG00000150347,TFBEFCAD7478C26789
TFF0019CEEC8223C5F,lambert,ARNT,ARNT,1,ENSG00000143437,TFF0019CEEC8223C5F
TF18BCF1D45AA1E106,lambert,aryl hydrocarbon receptor nuclear translocator,ARNT,1,ENSG00000143437,TFF0019CEEC8223C5F
TF037A29AE721B3DC8,lambert,HIF-1-beta,ARNT,1,ENSG00000143437,TFF0019CEEC8223C5F
TF90C4CFDEC1EBFBFC,lambert,HIF-1beta,ARNT,1,ENSG00000143437,TFF0019CEEC8223C5F
TFDB6898610E7AF840,lambert,HIF1-beta,ARNT,1,ENSG00000143437,TFF0019CEEC8223C5F
TFAEFBD5B7F7BC16B5,lambert,HIF1B,ARNT,1,ENSG00000143437,TFF0019CEEC8223C5F
TFA0BA7F99190F30F9,lambert,HIF1BETA,ARNT,1,ENSG00000143437,TFF0019CEEC8223C5F
TF741A759901D978C5,lambert,TANGO,ARNT,1,ENSG00000143437,TFF0019CEEC8223C5F
TF40268DF64FDDDB58,lambert,bHLHe2,ARNT,1,ENSG00000143437,TFF0019CEEC8223C5F
TFCD30F647C5802DE7,lambert,ARNT2,ARNT2,1,ENSG00000172379,TFCD30F647C5802DE7
TFD3629A082EB9EDA9,lambert,aryl hydrocarbon receptor nuclear translocator 2,ARNT2,1,ENSG00000172379,TFCD30F647C5802DE7
TFC7A49CD09D6F83F9,lambert,WEDAS,ARNT2,1,ENSG00000172379,TFCD30F647C5802DE7
TF49BC7B4B388139FB,lambert,bHLHe1,ARNT2,1,ENSG00000172379,TFCD30F647C5802DE7
TFBEF269ED3FB5270B,lambert,ARNTL,ARNTL,1,ENSG00000133794,TFBEF269ED3FB5270B
TF437A3F38345F826D,lambert,aryl hydrocarbon receptor nuclear translocator like,ARNTL,1,ENSG00000133794,TFBEF269ED3FB5270B
TF9CC9E16B0D1854C3,lambert,BMAL1,ARNTL,1,ENSG00000133794,TFBEF269ED3FB5270B
TFA78E3AC225E02F3D,lambert,BMAL1c,ARNTL,1,ENSG00000133794,TFBEF269ED3FB5270B
TF235A527A203FFEC0,lambert,JAP3,ARNTL,1,ENSG00000133794,TFBEF269ED3FB5270B
TF4B8F7ACB5CE9086A,lambert,MOP3,ARNTL,1,ENSG00000133794,TFBEF269ED3FB5270B
TF1414D6EBE99AD8FB,lambert,PASD3,ARNTL,1,ENSG00000133794,TFBEF269ED3FB5270B
TF5A04520AC2EF8CED,lambert,TIC,ARNTL,1,ENSG00000133794,TFBEF269ED3FB5270B
TFB0DEAB40894581C1,lambert,bHLHe5,ARNTL,1,ENSG00000133794,TFBEF269ED3FB5270B
TF53E27D249165DBC4,lambert,ARNTL2,ARNTL2,1,ENSG00000029153,TF53E27D249165DBC4
TFE6FF3BA058B23213,lambert,aryl hydrocarbon receptor nuclear translocator like 2,ARNTL2,1,ENSG00000029153,TF53E27D249165DBC4
TF3913B40BE023E031,lambert,BMAL2,ARNTL2,1,ENSG00000029153,TF53E27D249165DBC4
TF296AEB908CEBB057,lambert,CLIF,ARNTL2,1,ENSG00000029153,TF53E27D249165DBC4
TFA093787D8F0D459D,lambert,MOP9,ARNTL2,1,ENSG00000029153,TF53E27D249165DBC4
TFCCEB294306F1CD13,lambert,PASD9,ARNTL2,1,ENSG00000029153,TF53E27D249165DBC4
TF9532A3B84D26E2AC,lambert,bHLHe6,ARNTL2,1,ENSG00000029153,TF53E27D249165DBC4
TF7B9C2EA1A1E04589,lambert,ARX,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TF90E7BDDDA93AC526,lambert,aristaless related homeobox,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TF146C8A84C257F4EA,lambert,CT121,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TF04733ACFA2490B04,lambert,EIEE1,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TF7A9F4A3CE797CBB5,lambert,ISSX,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TFA974569DA54AE2A0,lambert,MRX29,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TFCC96335F51AA3EA3,lambert,MRX32,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TF5EDA74CF4C6E8A6A,lambert,MRX33,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TFE90A3327E7FB18EB,lambert,MRX36,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TF46DFE6E2C1D6545A,lambert,MRX38,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TF20705BCAEA37C0CC,lambert,MRX43,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TFA9AAF5A8CD44DD83,lambert,MRX54,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TFAF9440C98F9E4799,lambert,MRX76,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TFA564BFFAC6F112DD,lambert,MRX87,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TF93A1E855BAA49A5B,lambert,MRXS1,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TFC09A7E73CF46E7F5,lambert,PRTS,ARX,1,ENSG00000004848,TF7B9C2EA1A1E04589
TF5B0EEB74539426C7,lambert,ASCL1,ASCL1,1,ENSG00000139352,TF5B0EEB74539426C7
TF00BD3157590CBA17,lambert,achaete-scute family bHLH transcription factor 1,ASCL1,1,ENSG00000139352,TF5B0EEB74539426C7
TFD55DCB638541A5A8,lambert,ASH1,ASCL1,1,ENSG00000139352,TF5B0EEB74539426C7
TF82A40F4DF58EEA22,lambert,HASH1,ASCL1,1,ENSG00000139352,TF5B0EEB74539426C7
TFCD6CC457FDAE41A6,lambert,MASH1,ASCL1,1,ENSG00000139352,TF5B0EEB74539426C7
TF9A89411E7E33D376,lambert,bHLHa46,ASCL1,1,ENSG00000139352,TF5B0EEB74539426C7
TFD842805DB87EBDD9,lambert,ASCL2,ASCL2,1,ENSG00000183734,TFD842805DB87EBDD9
TF0DDCF85B70265A12,lambert,achaete-scute family bHLH transcription factor 2,ASCL2,1,ENSG00000183734,TFD842805DB87EBDD9
TF73FA3B76523C479C,lambert,ASH2,ASCL2,1,ENSG00000183734,TFD842805DB87EBDD9
TF66C69453D724D80B,lambert,HASH2,ASCL2,1,ENSG00000183734,TFD842805DB87EBDD9
TFB1B9D4B069B22CE4,lambert,MASH2,ASCL2,1,ENSG00000183734,TFD842805DB87EBDD9
TF3A72A50ABCC8E411,lambert,bHLHa45,ASCL2,1,ENSG00000183734,TFD842805DB87EBDD9
TF1EAE349545AAC71E,lambert,ASCL3,ASCL3,1,ENSG00000176009,TF1EAE349545AAC71E
TF965D403ED0782C55,lambert,achaete-scute family bHLH transcription factor 3,ASCL3,1,ENSG00000176009,TF1EAE349545AAC71E
TF385C453586151EFB,lambert,HASH3,ASCL3,1,ENSG00000176009,TF1EAE349545AAC71E
TF8AD9564762B27ED4,lambert,SGN1,ASCL3,1,ENSG00000176009,TF1EAE349545AAC71E
TF1618E9A04A860599,lambert,bHLHa42,ASCL3,1,ENSG00000176009,TF1EAE349545AAC71E
TF1D9CBB1A9F15E0D8,lambert,ASCL4,ASCL4,1,ENSG00000187855,TF1D9CBB1A9F15E0D8
TF9A038DD99B033474,lambert,achaete-scute family bHLH transcription factor 4,ASCL4,1,ENSG00000187855,TF1D9CBB1A9F15E0D8
TFFFF3F6EB9A42DB87,lambert,HASH4,ASCL4,1,ENSG00000187855,TF1D9CBB1A9F15E0D8
TFCFB1B8BB2048017C,lambert,bHLHa44,ASCL4,1,ENSG00000187855,TF1D9CBB1A9F15E0D8
TF59ADED76A2496DDE,lambert,ASCL5,ASCL5,1,ENSG00000232237,TF59ADED76A2496DDE
TFA3773C1420855DED,lambert,achaete-scute family bHLH transcription factor 5,ASCL5,1,ENSG00000232237,TF59ADED76A2496DDE
TFC0ECECC9AEA2D4B0,lambert,bHLHa47,ASCL5,1,ENSG00000232237,TF59ADED76A2496DDE
TF27F825F44AC4A01A,lambert,ASH1L,ASH1L,1,ENSG00000116539,TF27F825F44AC4A01A
TF437EFABCB6DEA628,lambert,ASH1 like histone lysine methyltransferase,ASH1L,1,ENSG00000116539,TF27F825F44AC4A01A
TF7E47ED76B38EB08D,lambert,ASH1,ASH1L,1,ENSG00000116539,TF27F825F44AC4A01A
TF0AA03333BEF1D6C0,lambert,ASH1L1,ASH1L,1,ENSG00000116539,TF27F825F44AC4A01A
TF7E42193446E2DA51,lambert,KMT2H,ASH1L,1,ENSG00000116539,TF27F825F44AC4A01A
TF33F73AAA4293DCA4,lambert,MRD52,ASH1L,1,ENSG00000116539,TF27F825F44AC4A01A
TF2D3FF4603F37DA4F,lambert,ATF1,ATF1,1,ENSG00000123268,TF2D3FF4603F37DA4F
TF894349065507F7B4,lambert,activating transcription factor 1,ATF1,1,ENSG00000123268,TF2D3FF4603F37DA4F
TFAC12836C35BE030D,lambert,EWS-ATF1,ATF1,1,ENSG00000123268,TF2D3FF4603F37DA4F
TFC6264F2DAD7EC05E,lambert,FUS/ATF-1,ATF1,1,ENSG00000123268,TF2D3FF4603F37DA4F
TFD4F9DB1448CF6EEF,lambert,TREB36,ATF1,1,ENSG00000123268,TF2D3FF4603F37DA4F
TF5C16D065E1A88B3C,lambert,ATF2,ATF2,1,ENSG00000115966,TF5C16D065E1A88B3C
TF5C6260D995260AB1,lambert,activating transcription factor 2,ATF2,1,ENSG00000115966,TF5C16D065E1A88B3C
TFD106599D0911402A,lambert,CRE-BP1,ATF2,1,ENSG00000115966,TF5C16D065E1A88B3C
TF5DAF99AB8D0AEEB7,lambert,CREB-2,ATF2,1,ENSG00000115966,TF5C16D065E1A88B3C
TF3FDF90079AA84D19,lambert,CREB2,ATF2,1,ENSG00000115966,TF5C16D065E1A88B3C
TFDE982CF524447AEC,lambert,HB16,ATF2,1,ENSG00000115966,TF5C16D065E1A88B3C
TFFEAF59B5CD6D9225,lambert,TREB7,ATF2,1,ENSG00000115966,TF5C16D065E1A88B3C
TF5A362988F13506BC,lambert,ATF3,ATF3,1,ENSG00000162772,TF5A362988F13506BC
TF6875756F821A16D7,lambert,activating transcription factor 3,ATF3,1,ENSG00000162772,TF5A362988F13506BC
TF462097C154572635,lambert,ATF4,ATF4,1,ENSG00000128272,TF462097C154572635
TF242D793715061BA1,lambert,activating transcription factor 4,ATF4,1,ENSG00000128272,TF462097C154572635
TF32759A8B7679288B,lambert,CREB-2,ATF4,1,ENSG00000128272,TF462097C154572635
TF44EA4F430FA1A278,lambert,CREB2,ATF4,1,ENSG00000128272,TF462097C154572635
TF669BC1D60E2D578C,lambert,TAXREB67,ATF4,1,ENSG00000128272,TF462097C154572635
TFCBFF31613511A74B,lambert,TXREB,ATF4,1,ENSG00000128272,TF462097C154572635
TF031C954BB885F0CE,lambert,ATF5,ATF5,1,ENSG00000169136,TF031C954BB885F0CE
TF1838880502B36DBD,lambert,activating transcription factor 5,ATF5,1,ENSG00000169136,TF031C954BB885F0CE
TFD71B8D190962D599,lambert,ATFX,ATF5,1,ENSG00000169136,TF031C954BB885F0CE
TF1FCD5929883745CD,lambert,HMFN0395,ATF5,1,ENSG00000169136,TF031C954BB885F0CE
TF3962332A5D283369,lambert,ATF6,ATF6,1,ENSG00000118217,TF3962332A5D283369
TFF07DCF82C436996A,lambert,activating transcription factor 6,ATF6,1,ENSG00000118217,TF3962332A5D283369
TF9CF14466F20E3AAB,lambert,ACHM7,ATF6,1,ENSG00000118217,TF3962332A5D283369
TFF7773A44E7899957,lambert,ATF6A,ATF6,1,ENSG00000118217,TF3962332A5D283369
TFE934C08B62A66378,lambert,ATF6B,ATF6B,1,ENSG00000213676,TFE934C08B62A66378
TF288E7B6260AB517E,lambert,activating transcription factor 6 beta,ATF6B,1,ENSG00000213676,TFE934C08B62A66378
TF3A5B2E6DE8729D7B,lambert,CREB-RP,ATF6B,1,ENSG00000213676,TFE934C08B62A66378
TFB238824DDBD46F79,lambert,CREBL1,ATF6B,1,ENSG00000213676,TFE934C08B62A66378
TFA1E13D4B11721009,lambert,G13,ATF6B,1,ENSG00000213676,TFE934C08B62A66378
TF1EC29BFE9A7CD66C,lambert,ATF7,ATF7,1,ENSG00000170653,TF1EC29BFE9A7CD66C
TFCADEBEC10A42EEEA,lambert,activating transcription factor 7,ATF7,1,ENSG00000267281,TF1EC29BFE9A7CD66C
TF90BBE59D82E55EF6,lambert,ATFA,ATF7,1,ENSG00000267281,TF1EC29BFE9A7CD66C
TF49765566B481E203,lambert,ATMIN,ATMIN,1,ENSG00000166454,TF49765566B481E203
TF2B03CC59F0084ECA,lambert,ATM interactor,ATMIN,1,ENSG00000166454,TF49765566B481E203
TF27E7840CBCD748E4,lambert,ASCIZ,ATMIN,1,ENSG00000166454,TF49765566B481E203
TF880A0BD869DC0124,lambert,ZNF822,ATMIN,1,ENSG00000166454,TF49765566B481E203
TF46D41EEC5ED3B0C4,lambert,ATOH1,ATOH1,1,ENSG00000172238,TF46D41EEC5ED3B0C4
TFC6F3011C5CA34C8F,lambert,atonal bHLH transcription factor 1,ATOH1,1,ENSG00000172238,TF46D41EEC5ED3B0C4
TF57955179DF4385B9,lambert,ATH1,ATOH1,1,ENSG00000172238,TF46D41EEC5ED3B0C4
TF76E20B5346EDF352,lambert,HATH1,ATOH1,1,ENSG00000172238,TF46D41EEC5ED3B0C4
TFD4E6B213C55B18DD,lambert,MATH-1,ATOH1,1,ENSG00000172238,TF46D41EEC5ED3B0C4
TF3EE44663C4681785,lambert,bHLHa14,ATOH1,1,ENSG00000172238,TF46D41EEC5ED3B0C4
TF929BA1E9AA2B4C90,lambert,ATOH7,ATOH7,1,ENSG00000179774,TF929BA1E9AA2B4C90
TF715BB2760C301701,lambert,atonal bHLH transcription factor 7,ATOH7,1,ENSG00000179774,TF929BA1E9AA2B4C90
TF2483D398DD13B6CF,lambert,Math5,ATOH7,1,ENSG00000179774,TF929BA1E9AA2B4C90
TF96A647A6150F235D,lambert,NCRNA,ATOH7,1,ENSG00000179774,TF929BA1E9AA2B4C90
TF3A3F36AFBC02610E,lambert,PHPVAR,ATOH7,1,ENSG00000179774,TF929BA1E9AA2B4C90
TFA98ABFD84E8420FE,lambert,RNANC,ATOH7,1,ENSG00000179774,TF929BA1E9AA2B4C90
